player,pos,club,cat,age,band,pick,live,K,d_live_K,P,d_K_P,R,d_P_R,candidate,d_R_cand,d_live_cand,d_K_cand
Dougal Howard,KPD,St Kilda,,30,7,56,45,51,6,51,0,51,0,43,-8,-2,-8
Jarrod Berry,MID,Brisbane,,28,3,17,189,195,6,195,0,195,0,187,-8,-2,-8
Jayden Nguyen,SD,GWS,,20,7,,471,302,-169,301,-1,301,0,293,-8,-178,-9
Jesse Hogan,KPF,GWS,,32,1,5,205,224,19,224,0,224,0,216,-8,11,-8
Kieren Briggs,RUCK,GWS,,27,5,34,1992,1808,-184,1808,0,1810,2,1802,-8,-190,-6
Liam O'Connell,SD,St Kilda,,23,7,,39,38,-1,26,-12,26,0,34,8,-5,-4
Oliver Wiltshire,SF,Geelong,,24,7,61,49,33,-16,33,0,24,-9,16,-8,-33,-17
Aidan Johnson,KPF,Melbourne,,26,7,68,229,110,-119,110,0,79,-31,72,-7,-157,-38
Angus Hastie,SD,St Kilda,,21,5,33,181,171,-10,100,-71,112,12,119,7,-62,-52
Archer Day-Wicks,SF,Essendon,,20,7,1,766,316,-450,311,-5,323,12,330,7,-436,14
Bobby Hill,SF,Collingwood,,26,4,24,29,49,20,49,0,33,-16,26,-7,-3,-23
Campbell Gray,KPD,Richmond,,23,7,15,176,206,30,200,-6,200,0,207,7,31,1
Hamish Davis,MID,West Coast,,20,7,65,1028,622,-406,625,3,625,0,632,7,-396,10
Harry Morrison,MID,Hawthorn,,28,7,73,20,33,13,33,0,31,-2,24,-7,4,-9
Hudson O'Keeffe,KPF,Carlton,,22,7,,275,229,-46,215,-14,216,1,223,7,-52,-6
Jack Hutchinson,MID,West Coast,,25,7,3,118,118,0,118,0,37,-81,44,7,-74,-74
Jaeger O'Meara,MID,Fremantle,,33,0,1,165,33,-132,33,0,19,-14,12,-7,-153,-21
James Leake,SF,GWS,,21,3,17,563,438,-125,368,-70,368,0,375,7,-188,-63
Jordan Boyd,SD,Carlton,,28,7,17,55,36,-19,36,0,8,-28,15,7,-40,-21
Kade Chandler,SF,Melbourne,,26,7,10,811,791,-20,791,0,785,-6,792,7,-19,1
Kyle Langford,KPF,Essendon,,30,3,18,518,505,-13,505,0,505,0,498,-7,-20,-7
Miles Bergman,SD,Port Adelaide,,25,3,14,922,872,-50,872,0,853,-19,860,7,-62,-12
Nathan O'Driscoll,MID,Fremantle,,24,5,28,597,562,-35,562,0,447,-115,440,-7,-157,-122
Oliver Hayes-Brown,RUCK,Richmond,,26,7,,190,112,-78,112,0,101,-11,108,7,-82,-4
Oskar Baker,SF,Western Bulldogs,,28,6,48,14,24,10,24,0,7,-17,14,7,0,-10
Sam Clohesy,MID,Gold Coast,,24,7,3,288,235,-53,235,0,235,0,228,-7,-60,-7
Sam Powell-Pepper,SF,Port Adelaide,,28,3,18,167,180,13,180,0,180,0,173,-7,6,-7
Toby McMullin,MID,GWS,,22,5,34,135,118,-17,42,-76,43,1,50,7,-85,-68
Todd Marshall,KPF,Port Adelaide,,28,3,16,61,83,22,83,0,70,-13,63,-7,2,-20
Zac Fisher,SF,North Melbourne,,28,4,27,113,116,3,116,0,116,0,109,-7,-4,-7
Bailey Humphrey,SF,Gold Coast,,22,1,6,2573,2309,-264,2269,-40,2297,28,2303,6,-270,-6
Brandon Walker,SD,Fremantle,Next Gen,24,7,52,57,45,-12,45,0,38,-7,32,-6,-25,-13
Clay Hall,MID,West Coast,,21,6,38,214,336,122,391,55,403,12,409,6,195,73
Flynn Perez,SD,Hawthorn,,25,7,,139,49,-90,49,0,16,-33,22,6,-117,-27
Harley Reid,MID,West Coast,,21,0,1,3820,3786,-34,3723,-63,3813,90,3819,6,-1,33
Harvey Johnston,SD,West Coast,,21,7,49,329,170,-159,151,-19,153,2,147,-6,-182,-23
Isaiah Dudley,SF,Fremantle,,23,7,,234,182,-52,185,3,185,0,191,6,-43,9
Jack Darling,KPF,North Melbourne,Priority (West Coast),34,5,28,155,160,5,160,0,160,0,154,-6,-1,-6
Jack Higgins,SF,St Kilda,,27,3,17,52,60,8,60,0,60,0,54,-6,2,-6
Jacob Weitering,KPD,Carlton,,29,0,1,1013,1023,10,1023,0,1016,-7,1010,-6,-3,-13
Jake Lever,SD,Melbourne,,30,3,15,143,153,10,153,0,153,0,147,-6,4,-6
Jarman Impey,SD,Hawthorn,,31,4,21,845,808,-37,808,0,802,-6,808,6,-37,0
Lachlan Gulbin,SF,Gold Coast,,20,7,,415,195,-220,217,22,217,0,211,-6,-204,16
Lachlan Weller,MID,Gold Coast,,30,3,14,74,49,-25,49,0,43,-6,37,-6,-37,-12
Luke Kennedy,MID,Western Bulldogs,,20,7,62,284,223,-61,213,-10,213,0,207,-6,-77,-16
Mark Blicavs,RUCK,Geelong,,35,7,,5,56,51,56,0,56,0,50,-6,45,-6
Matthew Kennedy,MID,Western Bulldogs,Academy,29,3,13,423,449,26,449,0,443,-6,449,6,26,0
Max Michalanney,SD,Adelaide,Father-Son,22,3,17,493,421,-72,381,-40,381,0,387,6,-106,-34
Noah Howes,KPF,Collingwood,,21,7,14,229,221,-8,207,-14,211,4,217,6,-12,-4
Paddy Cross,SF,Melbourne,,23,7,,139,59,-80,59,0,59,0,65,6,-74,6
Stephen Coniglio,SF,GWS,,33,0,3,215,211,-4,211,0,210,-1,204,-6,-11,-7
Toby Bedford,SF,GWS,Next Gen,26,7,75,272,279,7,279,0,273,-6,279,6,7,0
Will McLachlan,SF,Brisbane,,21,7,6,148,140,-8,114,-26,124,10,130,6,-18,-10
Andrew McGrath,SD,Essendon,,28,0,1,1022,1035,13,1035,0,998,-37,1003,5,-19,-32
Andy Moniz-Wakefield,SD,Melbourne,,23,7,,54,39,-15,43,4,43,0,38,-5,-16,-1
Billy Dowling,SF,Adelaide,,22,6,43,150,135,-15,162,27,162,0,157,-5,7,22
Brandon Zerk-Thatcher,KPD,Essendon,,28,7,65,48,55,7,55,0,51,-4,46,-5,-2,-9
Bruce Reville,MID,Brisbane,,25,7,,54,61,7,61,0,33,-28,38,5,-16,-23
Charlie West,KPF,Collingwood,,20,7,50,692,377,-315,347,-30,347,0,342,-5,-350,-35
Deven Robertson,SF,West Coast,,25,4,22,174,239,65,239,0,135,-104,130,-5,-44,-109
Esava Ratugolea,KPD,Port Adelaide,,28,6,43,64,79,15,79,0,72,-7,67,-5,3,-12
Ewan Mackinlay,SF,Port Adelaide,,23,7,10,152,99,-53,105,6,114,9,109,-5,-43,10
Harry Sharp,SF,Brisbane,,24,6,45,155,152,-3,152,0,108,-44,113,5,-42,-39
Heath Chapman,SD,Fremantle,,24,3,14,460,461,1,461,0,413,-48,408,-5,-52,-53
Jack Bowes,MID,Geelong,Academy,28,2,10,97,69,-28,69,0,49,-20,44,-5,-53,-25
Jack Ison,MID,Carlton,Next Gen,19,6,47,512,417,-95,453,36,453,0,458,5,-54,41
Jade Gresham,SF,Essendon,,29,3,18,39,11,-28,11,0,11,0,6,-5,-33,-5
Jake Riccardi,KPF,GWS,,27,7,50,257,242,-15,242,0,233,-9,238,5,-19,-4
Josaia Delana,SF,GWS,,20,7,,391,196,-195,205,9,205,0,200,-5,-191,4
Noah Answerth,SD,Brisbane,,27,7,55,12,16,4,16,0,12,-4,7,-5,-5,-9
Sam Butler,SF,Hawthorn,,23,4,23,81,136,55,63,-73,69,6,64,-5,-17,-72
Blake Acres,MID,Carlton,,31,3,19,86,89,3,89,0,89,0,85,-4,-1,-4
Bradley Close,SF,Geelong,,28,7,8,15,22,7,22,0,22,0,18,-4,3,-4
Callum Coleman-Jones,RUCK,North Melbourne,,27,3,20,38,120,82,120,0,23,-97,27,4,-11,-93
Charlie Spargo,SF,Melbourne,,27,5,29,26,17,-9,17,0,8,-9,4,-4,-22,-13
Corey Wagner,SD,Fremantle,Academy - Unmatched,29,6,43,20,38,18,38,0,28,-10,32,4,12,-6
Daniel McStay,KPF,Collingwood,,31,4,25,338,332,-6,332,0,324,-8,328,4,-10,-4
Hayden McLean,KPF,Sydney,,27,7,,214,201,-13,201,0,201,0,197,-4,-17,-4
Isaac Quaynor,SD,Collingwood,Next Gen,26,3,13,596,602,6,602,0,569,-33,573,4,-23,-29
Jack Henderson,SF,Melbourne,,27,7,,113,31,-82,31,0,22,-9,26,4,-87,-5
Jack Henry,KPF,Geelong,,28,7,12,251,273,22,273,0,273,0,269,-4,18,-4
Jack Payne,KPD,Brisbane,,27,7,54,94,125,31,125,0,104,-21,100,-4,6,-25
James Blanck,KPD,Hawthorn,,26,7,14,70,54,-16,54,0,19,-35,15,-4,-55,-39
Jeremy Sharp,MID,Fremantle,,25,4,27,63,149,86,149,0,37,-112,41,4,-22,-108
Lachlan Ash,SD,GWS,,25,1,4,5728,5303,-425,5303,0,5299,-4,5303,4,-425,0
Lance Collard,SF,St Kilda,,21,5,28,146,197,51,115,-82,134,19,138,4,-8,-59
Liam Henry,SF,St Kilda,Next Gen,25,2,9,63,138,75,138,0,31,-107,35,4,-28,-103
Liam Ryan,SF,St Kilda,,30,4,26,24,13,-11,13,0,9,-4,5,-4,-19,-8
Mitchell Knevitt,MID,Geelong,,23,4,25,258,245,-13,75,-170,99,24,95,-4,-163,-150
Oliver Wines,MID,Port Adelaide,,32,2,10,255,278,23,278,0,278,0,274,-4,19,-4
Ollie Lord,KPF,Port Adelaide,,24,7,51,105,95,-10,95,0,70,-25,74,4,-31,-21
Rhylee West,SF,Western Bulldogs,Father-Son,26,4,26,100,120,20,120,0,113,-7,109,-4,9,-11
Sam Cumming,MID,Richmond,,19,1,7,2288,1932,-356,2007,75,2150,143,2146,-4,-142,214
Taj Hotton,SF,Richmond,,20,2,12,2355,1628,-727,1722,94,1829,107,1825,-4,-530,197
Xavier O'Halloran,SF,GWS,,26,4,22,47,74,27,74,0,47,-27,51,4,4,-23
Zach Guthrie,SD,Geelong,,28,7,21,210,246,36,246,0,243,-3,247,4,37,1
Angus Sheldrick,MID,Sydney,,23,3,18,748,691,-57,573,-118,576,3,579,3,-169,-112
Archie May,KPF,Essendon,,22,7,6,476,336,-140,340,4,340,0,337,-3,-139,1
Callum Ah Chee,SF,Adelaide,,29,2,8,64,30,-34,30,0,17,-13,20,3,-44,-10
Cameron Rayner,SF,Brisbane,,27,0,1,457,513,56,513,0,459,-54,456,-3,-1,-57
Charlie Cameron,SF,Brisbane,,32,7,6,151,215,64,215,0,215,0,212,-3,61,-3
Charlie Curnow,KPF,Carlton,,29,2,12,1365,1297,-68,1297,0,1297,0,1294,-3,-71,-3
Connor Budarick,SF,Western Bulldogs,Academy,25,7,9,281,253,-28,253,0,239,-14,236,-3,-45,-17
Corey Durdin,SF,Carlton,,24,6,39,49,59,10,59,0,30,-29,33,3,-16,-26
Darragh Joyce,KPD,Brisbane,,29,7,,41,8,-33,8,0,4,-4,7,3,-34,-1
Flynn Young,SF,Carlton,,24,7,4,168,52,-116,52,0,20,-32,23,3,-145,-29
Hussien El Achkar,SF,Essendon,Next Gen,19,7,53,353,313,-40,361,48,361,0,364,3,11,51
Jackson Mead,MID,Port Adelaide,Father-Son,25,4,25,29,34,5,34,0,11,-23,14,3,-15,-20
Jy Farrar,KPF,Gold Coast,,30,7,59,10,34,24,34,0,9,-25,12,3,2,-22
Laitham Vandermeer,SF,Western Bulldogs,,27,6,37,20,36,16,36,0,7,-29,4,-3,-16,-32
Liam Stocker,SD,St Kilda,,26,3,19,41,58,17,58,0,10,-48,13,3,-28,-45
Luke Cleary,SD,Western Bulldogs,,24,7,61,29,48,19,48,0,27,-21,24,-3,-5,-24
Marc Pittonet,RUCK,Carlton,,30,7,50,466,431,-35,431,0,432,1,429,-3,-37,-2
Mason Redman,SD,Essendon,,29,5,30,1176,1094,-82,1094,0,1094,0,1091,-3,-85,-3
Nick Murray,KPD,Adelaide,,26,7,,321,341,20,341,0,313,-28,316,3,-5,-25
Oisin Mullin,SD,Geelong,,26,7,,14,15,1,15,0,5,-10,8,3,-6,-7
Patrick Dangerfield,SF,Geelong,,37,2,10,63,41,-22,41,0,41,0,38,-3,-25,-3
Sam Banks,SD,Richmond,,23,5,29,937,816,-121,818,2,821,3,824,3,-113,8
Shadeau Brain,SD,Brisbane,,22,7,,120,90,-30,99,9,99,0,102,3,-18,12
Tom Lynch,KPF,Richmond,,34,2,11,50,15,-35,15,0,15,0,12,-3,-38,-3
Wil Parker,SD,Collingwood,,24,7,,24,31,7,31,0,16,-15,13,-3,-11,-18
Bayley Fritsch,SF,Melbourne,,30,5,31,199,198,-1,198,0,198,0,196,-2,-3,-2
Ben King,KPF,Gold Coast,,26,1,6,218,244,26,244,0,214,-30,212,-2,-6,-32
Ben McKay,KPD,Essendon,,29,4,21,35,35,0,35,0,12,-23,14,2,-21,-21
Brady Hough,SD,West Coast,,23,5,31,292,263,-29,257,-6,257,0,259,2,-33,-4
Campbell Lake,SF,St Kilda,,22,7,7,161,164,3,203,39,203,0,201,-2,40,37
Changkuoth Jiath,SD,Melbourne,,27,7,,12,18,6,18,0,19,1,17,-2,5,-1
Chris Scerri,SF,Fremantle,,20,7,,459,321,-138,355,34,355,0,353,-2,-106,32
Conor McKenna,SF,Brisbane,,30,7,,6,5,-1,5,0,5,0,3,-2,-3,-2
Dane Rampe,SD,Sydney,,36,7,23,12,5,-7,5,0,5,0,3,-2,-9,-2
Daniel Butler,SF,St Kilda,,30,7,65,15,4,-11,4,0,3,-1,1,-2,-14,-3
Harrison Petty,KPF,Melbourne,,27,6,37,207,214,7,214,0,198,-16,200,2,-7,-14
Harry Cunningham,SD,Sydney,,33,7,,10,7,-3,7,0,4,-3,2,-2,-8,-5
Harvey Gallagher,SD,Western Bulldogs,,23,6,39,87,48,-39,21,-27,21,0,19,-2,-68,-29
Hayden Young,MID,Fremantle,,25,1,7,1762,1650,-112,1650,0,1651,1,1649,-2,-113,-1
Joel Hamling,KPD,Sydney,,33,6,41,18,17,-1,17,0,8,-9,6,-2,-12,-11
Lachie Sullivan,SF,Collingwood,,29,7,,86,29,-57,29,0,15,-14,17,2,-69,-12
Lachlan McNeil,SF,Western Bulldogs,,25,7,6,20,26,6,26,0,9,-17,11,2,-9,-15
Matt Guelfi,SF,Essendon,,29,7,75,15,7,-8,7,0,5,-2,3,-2,-12,-4
Mitchell Hinge,SD,Adelaide,,28,7,15,322,305,-17,305,0,305,0,303,-2,-19,-2
Nicholas Holman,SF,Gold Coast,,31,7,49,14,6,-8,6,0,3,-3,1,-2,-13,-5
Nick Haynes,SD,Carlton,,34,2,10,60,76,16,76,0,71,-5,69,-2,9,-7
Tim Membrey,KPF,St Kilda,,32,7,49,129,127,-2,127,0,127,0,125,-2,-4,-2
Tom Barrass,KPD,Hawthorn,,31,6,43,21,22,1,22,0,22,0,20,-2,-1,-2
Tom Powell,SF,North Melbourne,,24,3,13,2103,1907,-196,1907,0,1900,-7,1898,-2,-205,-9
Tyrell Dewar,SD,West Coast,,22,7,,96,38,-58,37,-1,37,0,39,2,-57,1
Tyson Stengle,SF,Richmond,,28,7,4,151,181,30,181,0,182,1,180,-2,29,-1
Alex Pearce,KPD,Fremantle,,31,6,37,23,17,-6,17,0,8,-9,7,-1,-16,-10
Angus Anderson,SF,Collingwood,,23,7,57,165,151,-14,171,20,176,5,177,1,12,26
Bailey Macdonald,SD,Hawthorn,,22,7,51,148,85,-63,60,-25,62,2,63,1,-85,-22
Billy Frampton,KPD,Collingwood,,30,7,74,34,45,11,45,0,38,-7,39,1,5,-6
Brandon Starcevich,SD,Brisbane,,27,3,18,41,26,-15,26,0,4,-22,5,1,-36,-21
Buku Khamis,KPF,Western Bulldogs,,26,7,,144,133,-11,133,0,128,-5,129,1,-15,-4
Caleb Lewis,KPF,Gold Coast,,23,7,13,233,155,-78,120,-35,139,19,140,1,-93,-15
Darcy Fogarty,KPF,Adelaide,,27,2,12,852,832,-20,832,0,805,-27,804,-1,-48,-28
Darcy Gardiner,KPD,Brisbane,,31,4,22,33,10,-23,10,0,6,-4,5,-1,-28,-5
Finlay Macrae,SF,West Coast,,24,3,20,322,112,-210,112,0,50,-62,51,1,-271,-61
Finn Maginness,SF,Hawthorn,Father-Son,25,5,29,26,64,38,64,0,12,-52,11,-1,-15,-53
Hugh Bond,SD,Adelaide,,22,7,50,153,74,-79,62,-12,65,3,64,-1,-89,-10
Hugo Ralphsmith,MID,Richmond,,25,6,45,54,87,33,87,0,38,-49,37,-1,-17,-50
Jack Ross,SF,Richmond,,26,6,43,2761,2479,-282,2479,0,2478,-1,2479,1,-282,0
Jackson Archer,SD,North Melbourne,Father-Son,23,7,59,27,24,-3,12,-12,12,0,13,1,-14,-11
Jacob Wehr,SD,Port Adelaide,,28,7,61,14,28,14,28,0,5,-23,4,-1,-10,-24
Jake Kolodjashnij,KPD,Geelong,,31,6,41,22,11,-11,11,0,6,-5,5,-1,-17,-6
James Jordon,SF,Sydney,,26,5,33,176,180,4,180,0,167,-13,168,1,-8,-12
Jamie Cripps,SF,West Coast,,34,4,26,28,11,-17,11,0,11,0,10,-1,-18,-1
Jamie Elliott,SF,Collingwood,,34,6,39,19,9,-10,9,0,9,0,8,-1,-11,-1
Joel Amartey,KPF,Sydney,,27,7,17,31,50,19,50,0,38,-12,37,-1,6,-13
Judd McVee,SD,Fremantle,,23,7,9,316,268,-48,263,-5,263,0,262,-1,-54,-6
Kye Annand,KPD,Richmond,,23,7,2,239,263,24,328,65,328,0,329,1,90,66
Lewis Melican,KPD,Sydney,,30,7,32,21,32,11,32,0,26,-6,25,-1,4,-7
Lincoln McCarthy,SF,Brisbane,,33,7,73,15,12,-3,12,0,12,0,11,-1,-4,-1
Luke Beecken,MID,Brisbane,,25,7,16,164,176,12,176,0,159,-17,158,-1,-6,-18
Luke McDonald,SD,North Melbourne,Father-Son,31,2,8,50,15,-35,15,0,12,-3,11,-1,-39,-4
Malcolm Rosas,SF,Sydney,Academy,25,7,14,25,38,13,38,0,21,-17,20,-1,-5,-18
Mason Cox,KPF,Fremantle,,35,7,,3,3,0,3,0,3,0,2,-1,-1,-1
Matt Cottrell,SF,Carlton,,26,7,,72,95,23,95,0,80,-15,81,1,9,-14
Matt Hill,SD,Hawthorn,,22,7,,56,61,5,52,-9,57,5,58,1,2,-3
Maurice Rioli,SF,Richmond,Father-Son,24,7,53,27,49,22,49,0,15,-34,16,1,-11,-33
Mitch McGovern,SF,Carlton,,32,6,43,40,41,1,41,0,41,0,40,-1,0,-1
Nathan Broad,SD,Richmond,,33,7,65,15,10,-5,10,0,7,-3,8,1,-7,-2
Ned Reeves,RUCK,Hawthorn,,28,7,,236,231,-5,231,0,201,-30,202,1,-34,-29
Nic Newman,SD,Carlton,,33,7,24,628,672,44,672,0,672,0,671,-1,43,-1
Nicholas Coffield,SD,Western Bulldogs,,27,2,8,50,161,111,161,0,53,-108,52,-1,2,-109
Nikolas Cox,MID,Essendon,,24,2,8,136,249,113,249,0,110,-139,109,-1,-27,-140
Oliver Henry,KPF,Geelong,,24,3,18,197,188,-9,188,0,166,-22,167,1,-30,-21
Paddy Dow,MID,St Kilda,,27,0,3,158,206,48,206,0,29,-177,28,-1,-130,-178
Rhys Stanley,RUCK,Geelong,,36,6,47,28,6,-22,6,0,6,0,5,-1,-23,-1
Riley Hamilton,SF,GWS,,20,7,,305,210,-95,208,-2,208,0,207,-1,-98,-3
Rory Lobb,KPD,Western Bulldogs,,33,5,29,276,270,-6,270,0,270,0,269,-1,-7,-1
Ryan Byrnes,SD,St Kilda,,25,7,51,64,58,-6,58,0,53,-5,54,1,-10,-4
Sam Wicks,SD,Sydney,,27,7,,10,33,23,33,0,16,-17,17,1,7,-16
Steely Green,SF,Richmond,,22,7,55,150,76,-74,38,-38,39,1,38,-1,-112,-38
Thomas Liberatore,MID,Western Bulldogs,Father-Son,34,4,24,1018,970,-48,970,0,970,0,969,-1,-49,-1
Tyler Brockman,SF,West Coast,,24,6,48,50,42,-8,42,0,31,-11,30,-1,-20,-12
Wade Derksen,KPD,Carlton,,25,7,5,109,158,49,158,0,158,0,159,1,50,1
Will Edwards,KPD,Sydney,,23,7,,214,161,-53,183,22,184,1,185,1,-29,24
Zac Banch,SF,North Melbourne,,23,7,2,152,69,-83,33,-36,40,7,39,-1,-113,-30
Adam Saad,SD,Carlton,,32,7,19,426,446,20,446,0,446,0,446,0,20,0
Adam Sweid,MID,Fremantle,Academy - Unmatched,19,4,25,397,253,-144,253,0,253,0,253,0,-144,0
Adam Treloar,SF,Western Bulldogs,,33,3,14,911,850,-61,850,0,850,0,850,0,-61,0
Aidan Corr,KPD,North Melbourne,,32,3,18,38,14,-24,14,0,9,-5,9,0,-29,-5
Aiden Riddle,RUCK,Fremantle,,21,7,2,151,211,60,211,0,211,0,211,0,60,0
Alex Neal-Bullen,SF,Adelaide,,30,6,40,371,356,-15,356,0,356,0,356,0,-15,0
Aliir Aliir,KPD,Port Adelaide,,32,6,44,773,728,-45,728,0,728,0,728,0,-45,0
Andrew Brayshaw,MID,Fremantle,,27,0,2,3138,2998,-140,2998,0,2998,0,2998,0,-140,0
Angus Clarke,SD,Essendon,,20,6,39,555,451,-104,532,81,532,0,532,0,-23,81
Archie Roberts,SD,Essendon,,21,7,54,4726,3561,-1165,3571,10,3571,0,3571,0,-1155,10
Asher Eastham,SF,Gold Coast,,20,7,7,94,86,-8,86,0,86,0,86,0,-8,0
Avery Thomas,SD,Gold Coast,,19,5,28,394,266,-128,266,0,266,0,266,0,-128,0
Bailey Banfield,SD,Fremantle,,28,7,3,10,17,7,17,0,10,-7,10,0,0,-7
Bailey Dale,SD,Western Bulldogs,,30,6,45,2255,2092,-163,2092,0,2092,0,2092,0,-163,0
Bailey Smith,MID,Geelong,,26,1,7,6683,6155,-528,6155,0,6155,0,6155,0,-528,0
Bailey Williams,SD,Western Bulldogs,,29,6,48,612,571,-41,571,0,571,0,571,0,-41,0
Beau McCreery,SF,Collingwood,,25,6,46,134,122,-12,122,0,116,-6,116,0,-18,-6
Ben Camporeale,MID,Carlton,Father-Son,20,6,43,249,123,-126,123,0,123,0,123,0,-126,0
Ben Long,SF,Gold Coast,,29,4,25,28,13,-15,13,0,7,-6,7,0,-21,-6
Ben Miller,KPD,Richmond,,27,7,62,1042,926,-116,926,0,927,1,927,0,-115,1
Ben Murphy,SD,Brisbane,,19,7,,85,40,-45,40,0,40,0,40,0,-45,0
Benny Barrett,SF,Port Adelaide,,20,7,,50,23,-27,23,0,23,0,23,0,-27,0
Blake Hardwick,SD,Hawthorn,,29,6,44,524,493,-31,493,0,493,0,493,0,-31,0
Blake Thredgold,KPD,North Melbourne,,19,4,26,373,372,-1,372,0,372,0,372,0,-1,0
Bodhi Uwland,SD,Gold Coast,,23,7,,4087,3560,-527,3568,8,3568,0,3568,0,-519,8
Bradley Hill,SF,St Kilda,,33,6,42,1225,1151,-74,1151,0,1151,0,1151,0,-74,0
Brayden George,SF,North Melbourne,,22,4,26,234,169,-65,169,0,169,0,169,0,-65,0
Brayden Maynard,SD,Collingwood,,30,5,30,489,467,-22,467,0,467,0,467,0,-22,0
Brent Daniels,SF,GWS,,27,4,27,1199,1089,-110,1089,0,1089,0,1089,0,-110,0
Brodie Grundy,RUCK,Sydney,,32,4,22,4490,4210,-280,4210,0,4210,0,4210,0,-280,0
Caleb Daniel,SD,North Melbourne,,30,6,46,1338,1249,-89,1249,0,1249,0,1249,0,-89,0
Caleb May,RUCK,Western Bulldogs,,21,7,9,322,266,-56,266,0,266,0,266,0,-56,0
Caleb Serong,MID,Fremantle,,25,2,8,5027,4648,-379,4648,0,4648,0,4648,0,-379,0
Callum M. Brown,SF,GWS,,26,7,,28,30,2,30,0,29,-1,29,0,1,-1
Callum Mills,SD,Sydney,Academy,29,0,3,1994,1921,-73,1921,0,1921,0,1921,0,-73,0
Callum Wilkie,KPD,St Kilda,,30,7,1,3633,3422,-211,3422,0,3422,0,3422,0,-211,0
Calsher Dear,KPF,Hawthorn,Father-Son,21,7,56,892,568,-324,592,24,592,0,592,0,-300,24
Cameron Zurhaar,SF,North Melbourne,,28,7,9,125,121,-4,121,0,121,0,121,0,-4,0
Chad Warner,SF,Sydney,,25,6,38,4411,4003,-408,4003,0,4004,1,4004,0,-407,1
Charlie Nicholls,KPF,Fremantle,,20,5,34,199,219,20,219,0,219,0,219,0,20,0
Chayce Jones,SD,Adelaide,,26,2,9,50,88,38,88,0,12,-76,12,0,-38,-76
Christian Petracca,SF,Gold Coast,,30,0,2,2038,1977,-61,1977,0,1977,0,1977,0,-61,0
Christian Salem,SD,Melbourne,,31,2,9,92,111,19,111,0,111,0,111,0,19,0
Cillian Bourke,SD,Essendon,,20,7,,85,40,-45,40,0,40,0,40,0,-45,0
Cillian Burke,SD,Geelong,,23,7,,43,37,-6,37,0,37,0,37,0,-6,0
Clayton Oliver,MID,GWS,,29,1,4,2334,2240,-94,2240,0,2240,0,2240,0,-94,0
Cody Anderson,SF,Hawthorn,,20,7,64,62,17,-45,17,0,17,0,17,0,-45,0
Colby McKercher,SD,North Melbourne,,21,0,2,4285,4167,-118,4223,56,4223,0,4223,0,-62,56
Connor Idun,SD,GWS,,26,7,61,2224,2021,-203,2021,0,2021,0,2021,0,-203,0
Connor MacDonald,SF,Hawthorn,,23,4,26,2740,2495,-245,2495,0,2495,0,2495,0,-245,0
Connor O'Sullivan,KPD,Geelong,,21,2,11,2920,2539,-381,2589,50,2589,0,2589,0,-331,50
Connor Rozee,SD,Port Adelaide,,26,1,5,2725,2559,-166,2559,0,2559,0,2559,0,-166,0
Conor Nash,MID,Hawthorn,,28,7,,235,252,17,252,0,252,0,252,0,17,0
Cooper Bell,KPF,Gold Coast,Academy - Unmatched,20,7,49,152,135,-17,135,0,135,0,135,0,-17,0
Cooper Trembath,KPF,North Melbourne,,21,7,9,2201,1728,-473,1779,51,1779,0,1779,0,-422,51
Dan Houston,SD,Collingwood,,29,7,30,1096,1111,15,1111,0,1111,0,1111,0,15,0
Daniel Curtin,MID,Adelaide,,21,2,8,2488,2242,-246,2335,93,2335,0,2335,0,-153,93
Daniel Rioli,SD,Gold Coast,,29,3,15,640,622,-18,622,0,622,0,622,0,-18,0
Daniel Turner,KPD,Melbourne,,24,7,20,1534,1303,-231,1303,0,1322,19,1322,0,-212,19
Dante Visentini,KPF,Port Adelaide,,23,7,56,1274,813,-461,800,-13,807,7,807,0,-467,-6
Darcy Byrne-Jones,SF,Port Adelaide,,31,7,50,664,623,-41,623,0,623,0,623,0,-41,0
Darcy Cameron,RUCK,Collingwood,,31,6,48,1669,1532,-137,1532,0,1532,0,1532,0,-137,0
Darcy Jones,SF,GWS,,22,4,21,1144,1038,-106,1095,57,1095,0,1095,0,-49,57
Darcy Wilmot,SD,Brisbane,,23,3,16,3313,3013,-300,3013,0,3013,0,3013,0,-300,0
Darcy Wilson,SF,St Kilda,,21,3,18,3224,2818,-406,2829,11,2829,0,2829,0,-395,11
Dayne Zorko,SD,Brisbane,,37,6,38,998,938,-60,938,0,938,0,938,0,-60,0
Dylan Moore,SF,Hawthorn,,27,7,66,1182,1116,-66,1116,0,1116,0,1116,0,-66,0
Dyson Sharp,SF,Essendon,,19,3,13,3091,2427,-664,2879,452,2879,0,2879,0,-212,452
Eamonn Armstrong,SD,St Kilda,,20,7,,43,37,-6,37,0,37,0,37,0,-6,0
Ed Langdon,SF,Melbourne,,30,7,54,795,744,-51,744,0,744,0,744,0,-51,0
Ed Richards,MID,Western Bulldogs,,27,3,16,3924,3641,-283,3641,0,3641,0,3641,0,-283,0
Elliot Yeo,SF,West Coast,,33,6,36,331,318,-13,318,0,318,0,318,0,-13,0
Eric Hipwood,KPF,Brisbane,Academy,29,3,14,42,23,-19,23,0,18,-5,18,0,-24,-5
Errol Gulden,MID,Sydney,Academy,24,5,34,7239,6442,-797,6442,0,6442,0,6442,0,-797,0
