player,pos,v_before,v_after,delta,pct,rank_before,rank_after,rank_move,cause
Finnegan Davis,SD,407,382,-25,-6.1,426,448,-22,stage_A; stageB_curve_pool
Oscar Ryan,SD,318,293,-25,-7.9,491,510,-19,stage_A; stageB_curve_pool
Karl Worner,SD,1078,1103,25,2.3,224,234,-10,stageB_engine
Hamish Davis,MID,949,974,25,2.6,250,257,-7,stage_A; stageB_engine
Jakob Ryan,SD,307,282,-25,-8.1,497,522,-25,stage_A; stageB_curve_pool
Billy Frampton,KPD,92,67,-25,-27.2,672,708,-36,stageB_engine
Xavier O'Halloran,MID,47,72,25,53.2,729,706,23,stage_A; stageB_engine
Aliir Aliir,KPD,969,993,24,2.5,245,254,-9,stage_A; stageB_engine
Jordan Croft,KPF,1027,1051,24,2.3,228,241,-13,stageB_engine
Oliver Griffin,SF,248,272,24,9.7,547,529,18,stage_A; stageB_engine
Jai Saxena,SF,248,272,24,9.7,546,528,18,stage_A; stageB_engine
Ryda Luke,SF,248,272,24,9.7,548,530,18,stage_A; stageB_engine
Toby Whan,SF,248,272,24,9.7,549,532,17,stage_A; stageB_engine
Jacob Konstanty,SF,187,211,24,12.8,593,585,8,stage_A; stageB_curve_pool
Will Brodie,MID,1014,1038,24,2.4,235,245,-10,stageB_engine
Sam De Koning,KPD,1021,1045,24,2.4,232,243,-11,stageB_engine
Will Hayes,SF,344,368,24,7.0,471,455,16,stage_A; stageB_engine
Jedd Busslinger,KPD,1025,1048,23,2.2,230,242,-12,stage_A; stageB_engine
Matt Johnson,MID,1053,1076,23,2.2,226,236,-10,stage_A; stageB_engine
Hugh Boxshall,MID,996,1019,23,2.3,242,251,-9,stageB_engine
Ethan Read,KPF,1002,1024,22,2.2,239,248,-9,stageB_engine
Harrison Oliver,SD,661,683,22,3.3,318,324,-6,stage_A; stageB_engine
Lachie Jaques,SD,869,891,22,2.5,267,271,-4,stage_A; stageB_engine
Jye Caldwell,MID,1144,1166,22,1.9,209,220,-11,stage_A; stageB_engine
Samuel Swadling,MID,931,953,22,2.4,254,261,-7,stage_A; stageB_engine
Billy Wilson,SD,962,984,22,2.3,246,255,-9,stageB_engine
Cillian Bourke,SD,347,325,-22,-6.3,468,491,-23,stage_A; stageB_engine
Blake Hardwick,SD,670,692,22,3.3,314,321,-7,stage_A; stageB_engine
Chris Scerri,SF,385,407,22,5.7,442,432,10,stage_A; stageB_engine
Aidan Johnson,KPF,69,91,22,31.9,704,680,24,stage_A; stageB_engine
Taylor Goad,RUCK,1013,1034,21,2.1,236,246,-10,stageB_engine; stageB_curve_pool
Jordan Ridley,SD,883,904,21,2.4,265,269,-4,stageB_engine
Nic Newman,SD,792,813,21,2.7,283,286,-3,stage_A; stageB_engine
Sean Darcy,RUCK,926,947,21,2.3,256,262,-6,stageB_engine
Jeremy Cameron,KPF,1000,1021,21,2.1,240,250,-10,stage_A; stageB_engine
Archer Reid,KPF,851,872,21,2.5,270,274,-4,stage_A; stageB_engine
Noah Chamberlain,SF,206,227,21,10.2,570,569,1,stage_A; stageB_engine
Jack Ough,MID,703,724,21,3.0,307,308,-1,stage_A; stageB_engine; stageB_curve_pool
Keidean Coleman,SD,899,920,21,2.3,261,266,-5,stageB_engine
Josaia Delana,SF,400,421,21,5.2,432,423,9,stage_A; stageB_engine
Isaac Keeler,KPF,296,317,21,7.1,509,494,15,stage_A; stageB_engine
Tobie Travaglia,SD,708,728,20,2.8,304,305,-1,stage_A; stageB_engine
Wil Powell,SD,936,956,20,2.1,252,259,-7,stage_A; stageB_engine
Joseph Fonti,SD,820,840,20,2.4,276,280,-4,stageB_engine
Bailey Williams,SD,771,791,20,2.6,289,291,-2,stage_A; stageB_engine
Mitch Podhajski,KPF,29,49,20,69.0,771,727,44,stage_A; stageB_engine
Will Setterfield,MID,786,806,20,2.5,286,289,-3,stageB_engine
Talor Byrne,SF,895,915,20,2.2,262,267,-5,stage_A; stageB_engine
River Stevens,SF,202,222,20,9.9,578,575,3,stage_A; stageB_engine
Asher Eastham,SF,202,222,20,9.9,577,574,3,stage_A; stageB_engine
Cooper Simpson,SD,271,251,-20,-7.4,528,552,-24,stage_A; stageB_curve_pool
Tom Anastasopoulos,SF,321,341,20,6.2,488,473,15,stage_A; stageB_engine; stageB_curve_pool
Angus Sheldrick,MID,818,838,20,2.4,278,281,-3,stage_A; stageB_engine
Elijah Hollands,SF,844,864,20,2.4,271,275,-4,stage_A; stageB_engine
Luke Pedlar,SF,143,163,20,14.0,632,622,10,stage_A; stageB_curve_pool
Buku Khamis,KPD,197,217,20,10.2,582,583,-1,stageB_engine
Nick Bryan,RUCK,817,837,20,2.4,279,283,-4,stageB_engine
Paul Curtis,SF,1503,1522,19,1.3,168,173,-5,stage_A; stageB_engine
Toby Greene,SF,1021,1040,19,1.9,233,244,-11,stage_A; stageB_engine
Wil Dawson,KPD,624,605,-19,-3.0,327,345,-18,stage_A; stageB_engine
Samuel Collins,KPD,795,814,19,2.4,282,285,-3,stage_A; stageB_engine
Matthew Kennedy,MID,752,771,19,2.5,291,296,-5,stage_A; stageB_engine
Lance Collard,SF,220,239,19,8.6,561,562,-1,stage_A; stageB_engine; stageB_curve_pool
Miles Bergman,SD,830,849,19,2.3,275,278,-3,stageB_engine
Patrick Said,SF,186,205,19,10.2,595,592,3,stage_A; stageB_curve_pool
Jack Ison,SF,604,623,19,3.1,334,340,-6,stage_A; stageB_engine
Tew Jiath,SD,260,241,-19,-7.3,539,559,-20,stage_A; stageB_curve_pool
Tom Hanily,SF,181,200,19,10.5,601,597,4,stage_A; stageB_engine
Joe Richards,SF,1102,1120,18,1.6,219,231,-12,stage_A; stageB_engine
Kade Chandler,SF,1116,1134,18,1.6,216,227,-11,stage_A; stageB_engine
Angus Clarke,SD,789,807,18,2.3,284,288,-4,stageB_engine
Kai Lohmann,SF,787,805,18,2.3,285,290,-5,stageB_engine
Cody Anderson,SF,182,200,18,9.9,599,596,3,stage_A; stageB_curve_pool
Mitchell Lewis,KPF,682,700,18,2.6,311,317,-6,stage_A; stageB_engine
Brodie Kemp,KPF,735,753,18,2.4,297,299,-2,stageB_engine
Rhys Unwin,SF,185,203,18,9.7,596,594,2,stage_A; stageB_curve_pool
Cooper Harvey,SF,645,663,18,2.8,322,327,-5,stage_A; stageB_engine
Isaac Cumming,SD,62,44,-18,-29.0,709,737,-28,stageB_engine
Darcy Parish,MID,714,731,17,2.4,303,304,-1,stage_A; stageB_engine
Jack Buckley,KPD,723,740,17,2.4,300,302,-2,stageB_engine
Lucca Grego,SD,268,251,-17,-6.3,530,553,-23,stage_A; stageB_curve_pool
Brayden Maynard,SD,640,657,17,2.7,325,329,-4,stage_A; stageB_engine
Oliver Francou,MID,548,565,17,3.1,362,359,3,stage_A; stageB_engine
Luker Kentfield,KPF,395,412,17,4.3,436,427,9,stage_A; stageB_engine
James O'Donnell,KPD,608,625,17,2.8,333,339,-6,stage_A; stageB_engine
Campbell Lake,SF,203,220,17,8.4,575,577,-2,stage_A; stageB_engine
Nick Larkey,KPF,661,678,17,2.6,319,325,-6,stage_A; stageB_engine
Patrick Lipinski,SF,912,928,16,1.8,259,264,-5,stage_A; stageB_engine
Cooper Sharman,KPF,673,689,16,2.4,312,322,-10,stageB_engine
Lachlan Smith,RUCK,700,716,16,2.3,308,311,-3,stageB_engine; stageB_curve_pool
Lachlan Schultz,SF,834,850,16,1.9,273,276,-3,stage_A; stageB_engine
Zac Walker,SD,280,264,-16,-5.7,520,539,-19,stage_A; stageB_engine
Lachlan Cowan,SD,804,820,16,2.0,281,284,-3,stage_A; stageB_engine
Matthew Flynn,RUCK,673,689,16,2.4,313,323,-10,stageB_engine
Ollie Greeves,MID,647,663,16,2.5,321,328,-7,stage_A; stageB_engine
Jayden Nguyen,SD,526,510,-16,-3.0,374,382,-8,stage_A; stageB_engine
Thomas Burton,SF,437,453,16,3.7,411,408,3,stage_A; stageB_engine
Malakai Champion,SF,402,418,16,4.0,431,426,5,stage_A; stageB_engine
Tom Cochrane,SF,254,270,16,6.3,541,536,5,stage_A; stageB_engine
Oscar Steene,RUCK,544,560,16,2.9,365,365,0,stageB_engine
Oscar Adams,KPD,80,96,16,20.0,693,672,21,stage_A; stageB_engine
Nathan O'Driscoll,MID,693,709,16,2.3,309,313,-4,stageB_engine
Xavier Taylor,SD,887,902,15,1.7,264,270,-6,stage_A; stageB_engine; stageB_curve_pool
Anthony Caminiti,KPF,1140,1155,15,1.3,210,222,-12,stage_A; stageB_engine
Jack Whitlock,KPF,1310,1325,15,1.1,193,201,-8,stage_A; stageB_engine
Ben Murphy,SD,301,286,-15,-5.0,501,516,-15,stage_A; stageB_engine
Kobe McDonald,SD,301,286,-15,-5.0,503,517,-14,stage_A; stageB_engine
Willem Drew,MID,721,736,15,2.1,301,303,-2,stage_A; stageB_engine
Ricky Mentha,SF,161,176,15,9.3,623,615,8,stage_A; stageB_engine
Benny Barrett,SF,161,176,15,9.3,621,613,8,stage_A; stageB_engine
Lennox Hoffman,SD,299,284,-15,-5.0,507,521,-14,stage_A; stageB_engine
Keighton Matofai-Forbes,SD,299,284,-15,-5.0,505,520,-15,stage_A; stageB_engine
Harry Charleson,SD,299,284,-15,-5.0,504,519,-15,stage_A; stageB_engine
Nathan Wardius,SF,161,176,15,9.3,622,614,8,stage_A; stageB_engine
Hudson O'Keeffe,KPF,286,301,15,5.2,517,503,14,stage_A; stageB_engine
Will McLachlan,SF,162,177,15,9.3,620,612,8,stage_A; stageB_engine
Logan McDonald,KPF,706,720,14,2.0,305,309,-4,stage_A; stageB_engine
Charlie Edwards,MID,733,747,14,1.9,298,301,-3,stage_A; stageB_engine; stageB_curve_pool
Isaac Quaynor,SD,587,601,14,2.4,339,346,-7,stageB_engine
Caleb Lewis,KPF,205,219,14,6.8,571,579,-8,stage_A; stageB_engine
Max Kondogiannis,SD,578,564,-14,-2.4,348,361,-13,stage_A; stageB_engine
Indy Cotton,SD,301,287,-14,-4.7,502,513,-11,stage_A; stageB_engine
Adam Saad,SD,601,615,14,2.3,336,341,-5,stage_A; stageB_engine
Calsher Dear,KPF,1002,1016,14,1.4,238,252,-14,stage_A; stageB_engine
Scott Pendlebury,MID,470,484,14,3.0,396,397,-1,stageB_engine
Josh Lai,SD,535,549,14,2.6,372,368,4,stage_A; stageB_engine
Billy Dowling,SF,191,205,14,7.3,591,591,0,stage_A; stageB_engine; stageB_curve_pool
Rhett Bazzo,KPD,584,598,14,2.4,343,348,-5,stageB_engine
Max Ramsden,KPF,233,247,14,6.0,557,557,0,stage_A; stageB_engine
Dylan Stephens,MID,491,505,14,2.9,385,383,2,stage_A; stageB_engine
Harry Kyle,SD,1097,1110,13,1.2,221,232,-11,stage_A; stageB_engine
Will Green,RUCK,659,672,13,2.0,320,326,-6,stageB_curve_pool
Jai Murray,MID,1330,1343,13,1.0,190,200,-10,stage_A; stageB_engine
Jack Dalton,SF,617,630,13,2.1,329,336,-7,stage_A; stageB_engine; stageB_curve_pool
Joshua Kelly,MID,536,549,13,2.4,371,369,2,stage_A; stageB_engine
Tobyn Murray,SF,399,412,13,3.3,434,428,6,stage_A; stageB_curve_pool
Balyn O'Brien,SD,362,349,-13,-3.6,455,466,-11,stage_A; stageB_engine
Jacob Molier,RUCK,489,502,13,2.7,387,386,1,stageB_curve_pool
Fred Rodriguez,MID,416,429,13,3.1,419,418,1,stageB_engine
Nick Driscoll,MID,416,429,13,3.1,420,419,1,stageB_engine
Tom Brown,SD,577,590,13,2.3,350,350,0,stageB_engine
Liam Baker,SD,558,571,13,2.3,359,356,3,stageB_engine
James Borlase,KPD,551,564,13,2.4,360,360,0,stageB_engine
Harry Sharp,MID,62,75,13,21.0,708,701,7,stage_A; stageB_engine
Jy Farrar,SD,11,24,13,118.2,789,775,14,stage_A; stageB_engine
Shaun Mannagh,SF,704,716,12,1.7,306,312,-6,stage_A; stageB_engine
Tai Hayes,SF,262,274,12,4.6,537,527,10,stage_A; stageB_curve_pool
Jaxon Artemis,SD,370,358,-12,-3.2,452,461,-9,stage_A; stageB_engine
Alex Dodson,RUCK,487,499,12,2.5,388,389,-1,stageB_curve_pool
Will Darcy,KPD,479,491,12,2.5,392,395,-3,stage_A; stageB_curve_pool
Matthew Jefferson,KPF,487,499,12,2.5,389,390,-1,stageB_engine
Max Gruzewski,KPF,549,561,12,2.2,361,364,-3,stage_A; stageB_engine
Cameron Rayner,SF,870,882,12,1.4,266,272,-6,stage_A; stageB_engine
Francis Evans,SF,468,480,12,2.6,397,398,-1,stageB_engine
Will Lorenz,MID,427,439,12,2.8,414,414,0,stage_A; stageB_engine; stageB_curve_pool
Josh Draper,KPD,525,537,12,2.3,375,374,1,stageB_engine
Alex Davies,MID,477,489,12,2.5,393,396,-3,stage_A; stageB_engine
Liam McMahon,KPF,197,209,12,6.1,583,587,-4,stage_A; stageB_engine; stageB_curve_pool
Sam Sturt,SF,53,65,12,22.6,720,711,9,stage_A; stageB_curve_pool
Koby Coulson,MID,422,433,11,2.6,415,416,-1,stage_A; stageB_curve_pool
Charlie Comben,KPD,1012,1023,11,1.1,237,249,-12,stageB_engine
Eamonn Armstrong,SD,196,185,-11,-5.6,585,607,-22,stage_A; stageB_engine
Michael Sellwood,SD,197,208,11,5.6,584,588,-4,stage_A; stageB_engine
Mitch Zadow,SF,86,97,11,12.8,685,670,15,stage_A; stageB_engine
Riley Hamilton,SF,329,340,11,3.3,482,476,6,stage_A; stageB_engine
Rob Monahan,SD,187,176,-11,-5.9,594,616,-22,stage_A; stageB_engine
Marc Pittonet,RUCK,541,552,11,2.0,368,366,2,stageB_engine
James Worpel,MID,490,501,11,2.2,386,387,-1,stageB_engine
Mitchell Hinge,SD,468,479,11,2.4,398,400,-2,stageB_engine
Jack Bowes,MID,105,116,11,10.5,657,647,10,stage_A; stageB_curve_pool
Josh Battle,KPD,2263,2273,10,0.4,95,102,-7,stage_A; stageB_engine
Sam Marshall,MID,866,876,10,1.2,268,273,-5,stage_A; stageB_engine
Max Beattie,SF,52,62,10,19.2,721,712,9,stage_A; stageB_engine
Kye Fincher,MID,391,401,10,2.6,437,434,3,stage_A; stageB_curve_pool
Riley Onley,MID,416,426,10,2.4,421,421,0,stageB_engine
Jack Viney,MID,359,369,10,2.8,459,454,5,stageB_engine
Nick Murray,KPD,438,448,10,2.3,408,411,-3,stageB_engine
Oliver Wines,MID,381,391,10,2.6,446,442,4,stageB_engine
Sam Butler,SF,100,110,10,10.0,663,657,6,stage_A; stageB_curve_pool
Judson Clarke,SF,88,98,10,11.4,679,668,11,stage_A; stageB_curve_pool
Hayden McLean,KPF,377,387,10,2.7,448,445,3,stageB_engine
Heath Chapman,SD,483,493,10,2.1,391,393,-2,stageB_engine
Ryan Angwin,MID,493,503,10,2.0,384,384,0,stage_A; stageB_engine
Samson Ryan,RUCK,410,420,10,2.4,424,424,0,stageB_engine
Jacob Hopper,MID,120,130,10,8.3,642,638,4,stage_A; stageB_curve_pool
Jade Gresham,SF,49,59,10,20.4,723,713,10,stage_A; stageB_curve_pool
Blake Thredgold,KPD,562,571,9,1.6,356,355,1,stage_A; stageB_curve_pool
Harry Barnett,RUCK,620,629,9,1.5,328,338,-10,stageB_curve_pool
Toby Conway,RUCK,568,577,9,1.6,354,353,1,stageB_curve_pool
Josh Gibcus,KPD,205,196,-9,-4.4,573,602,-29,stage_A; stageB_engine
Matthew LeRay,MID,381,390,9,2.4,445,444,1,stageB_curve_pool
Ashton Moir,SF,296,305,9,3.0,508,501,7,stage_A; stageB_engine; stageB_curve_pool
Liam Fawcett,KPF,517,526,9,1.7,378,377,1,stage_A; stageB_engine
Brennan Cox,KPD,376,385,9,2.4,450,447,3,stageB_engine
Mason Wood,SF,513,522,9,1.8,380,380,0,stage_A; stageB_engine
Jake Riccardi,KPF,387,396,9,2.3,440,436,4,stageB_engine
Brady Hough,SD,362,371,9,2.5,456,453,3,stageB_engine
Jeremy Howe,SD,358,367,9,2.5,460,456,4,stage_A; stageB_engine
Tom Atkins,MID,410,419,9,2.2,425,425,0,stage_A; stageB_engine
Mabior Chol,KPF,388,397,9,2.3,439,435,4,stageB_engine
Liam Duggan,SD,356,365,9,2.5,462,457,5,stage_A; stageB_engine
Judd McVee,SD,377,386,9,2.4,449,446,3,stageB_engine
Jaxon Prior,SD,381,390,9,2.4,444,443,1,stageB_engine
Callum Coleman-Jones,KPF,39,48,9,23.1,745,729,16,stage_A; stageB_curve_pool
Patrick Dangerfield,MID,82,91,9,11.0,690,683,7,stage_A; stageB_curve_pool
Jesse Mellor,MID,295,303,8,2.7,511,502,9,stageB_engine
Ben King,KPF,341,349,8,2.3,472,467,5,stageB_engine
Max Knobel,RUCK,508,516,8,1.6,382,381,1,stageB_curve_pool
Angus Hastie,SD,331,339,8,2.4,479,477,2,stageB_engine
Milan Murdock,SF,345,353,8,2.3,470,465,5,stageB_engine
Leek Aleer,KPD,279,287,8,2.9,521,514,7,stage_A; stageB_engine
Sam Clohesy,MID,262,270,8,3.1,535,535,0,stage_A; stageB_engine
Zane Zakostelsky,KPD,467,475,8,1.7,399,402,-3,stage_A; stageB_engine; stageB_curve_pool
Kye Annand,KPD,173,181,8,4.6,609,609,0,stage_A; stageB_engine
Tom Doedee,SD,353,361,8,2.3,465,460,5,stageB_engine
Kaleb Smith,SD,130,122,-8,-6.2,637,643,-6,stage_A; stageB_curve_pool
Corey Warner,SF,74,82,8,10.8,700,692,8,stage_A; stageB_curve_pool
Jarrod Berry,MID,324,332,8,2.5,484,484,0,stageB_engine
Jesse Hogan,KPF,321,329,8,2.5,487,489,-2,stageB_engine
Mitchell Knevitt,MID,169,177,8,4.7,610,610,0,stage_A; stageB_engine
Jack Williams,KPF,532,540,8,1.5,373,373,0,stage_A; stageB_engine
Zach Guthrie,SD,319,327,8,2.5,490,490,0,stageB_engine
Ned Reeves,RUCK,322,330,8,2.5,486,487,-1,stageB_engine
Liam Henry,SF,84,92,8,9.5,688,678,10,stage_A; stageB_curve_pool
Hunter Holmes,MID,577,584,7,1.2,349,351,-2,stage_A; stageB_curve_pool
Riley Bice,SD,333,340,7,2.1,477,475,2,stageB_engine
Lewis Hayes,KPD,372,379,7,1.9,451,449,2,stage_A; stageB_curve_pool
Archie May,KPF,471,478,7,1.5,395,401,-6,stage_A; stageB_engine
Ben Camporeale,MID,290,297,7,2.4,513,506,7,stage_A; stageB_curve_pool
Matt Hill,SF,116,123,7,6.0,645,642,3,stage_A; stageB_engine
Archie Perkins,SF,302,309,7,2.3,500,500,0,stageB_engine
Cillian Burke,SD,98,91,-7,-7.1,665,681,-16,stage_A; stageB_engine
Tom Gross,MID,637,644,7,1.1,326,332,-6,stage_A; stageB_engine
Clay Hall,MID,347,354,7,2.0,469,463,6,stageB_engine; stageB_curve_pool
Lucas Camporeale,MID,250,257,7,2.8,544,543,1,stageB_curve_pool
Brayden Fiorini,MID,278,285,7,2.5,522,518,4,stageB_engine
Tom Papley,SF,525,532,7,1.3,376,376,0,stage_A; stageB_engine
Edward Allan,MID,842,849,7,0.8,272,277,-5,stage_A; stageB_engine
Harvey Johnston,SD,250,257,7,2.8,543,542,1,stage_A; stageB_engine
Steely Green,SF,168,175,7,4.2,612,617,-5,stage_A; stageB_engine
Noah Long,SF,199,206,7,3.5,580,590,-10,stage_A; stageB_engine
Charlie Cameron,SF,288,295,7,2.4,515,508,7,stageB_engine
Finnbar Maley,KPF,305,312,7,2.3,499,498,1,stageB_engine
Toby Murray,KPF,284,291,7,2.5,518,512,6,stageB_engine
Ben Ainsworth,SF,312,319,7,2.2,494,492,2,stageB_engine
Conor Nash,MID,341,348,7,2.1,473,468,5,stageB_engine
Blake Acres,MID,244,251,7,2.9,553,551,2,stageB_engine
Bailey Laurie,SF,69,76,7,10.1,705,700,5,stage_A; stageB_curve_pool
Eric Hipwood,KPF,44,51,7,15.9,734,726,8,stage_A; stageB_curve_pool
Ryan Byrnes,MID,89,96,7,7.9,677,673,4,stage_A; stageB_engine
Jack Martin,SF,97,104,7,7.2,667,662,5,stage_A; stageB_curve_pool
Steele Sidebottom,MID,99,106,7,7.1,664,660,4,stage_A; stageB_curve_pool
Conor McKenna,SD,2,9,7,350.0,800,795,5,stage_A
Max King,KPF,332,338,6,1.8,478,479,-1,stageB_engine
Sam Allen,MID,687,693,6,0.9,310,320,-10,stage_A; stageB_curve_pool
Tyan Prindable,MID,601,607,6,1.0,337,344,-7,stage_A; stageB_curve_pool
Harrison Ramm,KPD,388,394,6,1.5,438,438,0,stage_A; stageB_engine
Cooper Bell,KPD,323,329,6,1.9,485,488,-3,stage_A; stageB_curve_pool
Luke Urquhart,MID,245,251,6,2.4,552,554,-2,stageB_curve_pool
Tylar Young,KPD,313,319,6,1.9,493,493,0,stageB_engine
Isaiah Dudley,SF,113,119,6,5.3,647,646,1,stage_A; stageB_engine
Jack Watkins,MID,3,9,6,200.0,799,796,3,stageB_engine
Toby McMullin,SF,149,155,6,4.0,631,629,2,stage_A; stageB_engine
Zac Banch,SF,42,48,6,14.3,741,731,10,stage_A; stageB_engine
Campbell Chesser,MID,351,357,6,1.7,466,462,4,stage_A; stageB_engine
Alex Neal-Bullen,SF,420,426,6,1.4,416,420,-4,stage_A; stageB_engine
Blake Howes,SD,334,340,6,1.8,476,474,2,stage_A; stageB_engine
Bailey Macdonald,SD,179,185,6,3.4,603,606,-3,stage_A; stageB_engine
Will Edwards,KPD,273,279,6,2.2,526,525,1,stageB_engine
Sam Powell-Pepper,SF,272,278,6,2.2,527,526,1,stageB_engine
Bayley Fritsch,SF,246,252,6,2.4,550,550,0,stageB_engine
Josh Goater,SD,102,96,-6,-5.9,659,671,-12,stage_A; stageB_curve_pool
Toby Bedford,SF,266,272,6,2.3,533,531,2,stageB_engine
Robert Hansen,SF,121,127,6,5.0,640,640,0,stage_A; stageB_engine
Tyson Stengle,SF,249,255,6,2.4,545,549,-4,stageB_engine
Harvey Harrison,SF,61,67,6,9.8,710,710,0,stage_A; stageB_curve_pool
Cody Weightman,SF,213,219,6,2.8,567,580,-13,stage_A; stageB_engine
Callum Ah Chee,SF,86,92,6,7.0,683,677,6,stage_A; stageB_curve_pool
Oskar Taylor,SD,754,759,5,0.7,290,298,-8,stage_A; stageB_curve_pool
Harry O'Farrell,KPD,937,932,-5,-0.5,251,263,-12,stage_A; stageB_engine
Joel Cochran,KPD,328,333,5,1.5,483,481,2,stage_A; stageB_curve_pool
Max Michalanney,SD,568,573,5,0.9,353,354,-1,stage_A; stageB_engine
Patrick Snell,KPD,246,251,5,2.0,551,555,-4,stage_A; stageB_curve_pool
Jaren Carr,SF,213,218,5,2.3,568,582,-14,stageB_curve_pool
Matt Duffy,SD,165,160,-5,-3.0,614,626,-12,stage_A; stageB_engine
Hugo Hall-Kahan,SD,229,234,5,2.2,559,568,-9,stage_A; stageB_engine
George Stevens,MID,405,410,5,1.2,429,430,-1,stage_A; stageB_engine; stageB_curve_pool
Campbell Gray,KPD,266,271,5,1.9,532,533,-1,stage_A; stageB_engine
Bodie Ryan,SD,337,342,5,1.5,475,472,3,stage_A; stageB_engine; stageB_curve_pool
Oliver Hayes-Brown,RUCK,274,279,5,1.8,525,524,1,stageB_engine
Ben Keays,SF,444,449,5,1.1,407,410,-3,stage_A; stageB_engine
Henry Hustwaite,MID,274,279,5,1.8,524,523,1,stage_A; stageB_engine; stageB_curve_pool
Darcy Moore,KPD,232,237,5,2.2,558,564,-6,stageB_engine
Sandy Brock,KPD,262,267,5,1.9,536,537,-1,stageB_engine
Shadeau Brain,SD,115,110,-5,-4.3,646,658,-12,stage_A; stageB_engine
Daniel McStay,KPF,234,239,5,2.1,556,561,-5,stageB_engine
Taylor Walker,KPF,214,219,5,2.3,566,581,-15,stage_A; stageB_engine
Will Hayward,SF,219,224,5,2.3,563,573,-10,stageB_engine
Tim Membrey,KPF,207,212,5,2.4,569,584,-15,stageB_engine
Jarrod Witts,RUCK,219,224,5,2.3,562,572,-10,stageB_engine
Beau McCreery,SF,194,199,5,2.6,588,598,-10,stageB_engine
Jack Payne,KPD,168,173,5,3.0,611,618,-7,stageB_engine
Jackson Archer,SD,80,75,-5,-6.2,692,702,-10,stage_A; stageB_curve_pool
Jai Culley,MID,240,245,5,2.1,554,558,-4,stageB_engine
Zac Fisher,SF,180,185,5,2.8,602,608,-6,stageB_engine
Rhylee West,SF,216,221,5,2.3,565,576,-11,stageB_engine
Xavier Duursma,MID,203,208,5,2.5,576,589,-13,stageB_engine
Tom Lynch,KPF,48,53,5,10.4,727,724,3,stage_A; stageB_curve_pool
Joel Hamling,KPD,38,33,-5,-13.2,748,758,-10,stage_A
Jake Melksham,SF,48,53,5,10.4,725,723,2,stage_A; stageB_curve_pool
Harley Barker,MID,745,749,4,0.5,293,300,-7,stage_A; stageB_curve_pool
James Barrat,KPD,387,391,4,1.0,441,440,1,stage_A; stageB_curve_pool
Ollie Murphy,KPD,288,292,4,1.4,516,511,5,stage_A; stageB_curve_pool
Harrison Coe,RUCK,163,167,4,2.5,618,620,-2,stageB_engine
Luke Lloyd,KPF,283,287,4,1.4,519,515,4,stage_A; stageB_curve_pool
Hugh Davies,KPD,310,314,4,1.3,495,497,-2,stage_A; stageB_curve_pool
Sam Davidson,SF,78,82,4,5.1,696,693,3,stage_A; stageB_curve_pool
Riak Andrew,KPD,296,300,4,1.4,510,504,6,stage_A; stageB_curve_pool
Billy Cootee,MID,101,105,4,4.0,660,661,-1,stage_A; stageB_curve_pool
Jed Adams,KPD,267,271,4,1.5,531,534,-3,stage_A; stageB_curve_pool
Reece Torrent,MID,198,202,4,2.0,581,595,-14,stageB_curve_pool
Will Lewis,KPF,12,16,4,33.3,788,785,3,stage_A; stageB_engine
Harvey Gallagher,SF,138,142,4,2.9,634,634,0,stageB_curve_pool
James Trezise,SD,163,167,4,2.5,619,621,-2,stageB_engine
Harrison Jones,KPF,205,209,4,2.0,572,586,-14,stage_A; stageB_engine
Jayden Laverde,KPD,294,298,4,1.4,512,505,7,stageB_engine
Hugh Bond,SD,194,198,4,2.1,590,599,-9,stage_A; stageB_engine
Paddy Dow,MID,165,169,4,2.4,615,619,-4,stageB_curve_pool
Jack Darling,KPF,199,203,4,2.0,579,593,-14,stageB_engine
Lachlan Jones,SD,152,156,4,2.6,628,628,0,stageB_engine
Tom McDonald,KPD,182,186,4,2.2,600,605,-5,stageB_engine
Jake Stringer,SF,138,142,4,2.9,635,635,0,stageB_engine
Jack Carroll,MID,96,100,4,4.2,668,667,1,stage_A; stageB_engine
Maurice Rioli,SF,42,46,4,9.5,740,734,6,stage_A; stageB_curve_pool
Griffin Logue,KPD,126,130,4,3.2,639,637,2,stageB_engine
Tyler Brockman,SF,76,80,4,5.3,699,697,2,stage_A; stageB_engine
Jack Scrimshaw,SD,154,158,4,2.6,627,627,0,stageB_engine
Finn Maginness,MID,34,38,4,11.8,758,750,8,stage_A; stageB_curve_pool
Harry Edwards,KPD,157,161,4,2.5,626,624,2,stageB_engine
Jackson Mead,MID,36,40,4,11.1,751,743,8,stage_A; stageB_curve_pool
Charlie Spargo,SF,34,38,4,11.8,757,749,8,stage_A; stageB_curve_pool
Lachlan Sholl,MID,216,220,4,1.9,564,578,-14,stageB_engine
Elijah Hewett,MID,779,782,3,0.4,288,293,-5,stage_A; stageB_engine
Riley Hardeman,SD,320,317,-3,-0.9,489,495,-6,stage_A; stageB_engine; stageB_curve_pool
Harry DeMattia,MID,476,479,3,0.6,394,399,-5,stage_A; stageB_curve_pool
Josh Sinn,SD,183,186,3,1.6,597,604,-7,stage_A; stageB_engine
Zac Taylor,SF,258,261,3,1.2,540,541,-1,stage_A; stageB_engine
Oliver Wiltshire,SF,98,101,3,3.1,666,666,0,stage_A; stageB_curve_pool
Luke Nankervis,SD,457,460,3,0.7,402,406,-4,stageB_engine
