player,pos,v_baseline,d_your_edits,d_rebake,d_axis,d_bars,d_curve_pool,v_final,delta_total,rank_before,rank_final,rank_move,notes
Angus Anderson,SF,204,1,0,5,30,0,240,36,574,560,14,collateral: position-group ripple | year0 bar MID→SF
Nick Madden,RUCK,1897,0,0,42,-7,0,1932,35,132,136,-4,
Lloyd Meek,RUCK,1441,0,0,33,2,0,1476,35,179,182,-3,
Zane Peucker,SF,598,3,18,8,0,6,633,35,338,335,3,collateral: position-group ripple
William McCabe,KPD,740,2,17,14,0,2,775,35,294,295,-1,collateral: position-group ripple | year0 bar KPF→KPD
Elijah Tsatas,MID,1327,4,0,31,0,0,1362,35,191,197,-6,collateral: position-group ripple
Ty Gallop,KPF,1563,-1,0,36,0,0,1598,35,162,168,-6,collateral: position-group ripple
Jay Polkinghorne,KPF,338,15,9,6,3,2,373,35,474,452,22,collateral: position-group ripple | year0 bar SF→KPF | 2026 col-bar row SF→col KPF
Harrison Petty,KPF,191,0,0,4,31,0,226,35,592,570,22,year0 bar KPD→KPF
Aaron Cadman,KPF,1842,-8,0,42,0,0,1876,34,136,140,-4,collateral: position-group ripple
Thomas Stewart,SD,1237,3,0,29,2,0,1271,34,197,207,-10,collateral: position-group ripple
Cooper Hynes,SF,1272,-7,0,29,12,0,1306,34,194,204,-10,collateral: position-group ripple | year0 bar MID→SF
Ned Bowman,SF,357,0,26,0,0,8,391,34,461,441,20,
Christian Moraes,SF,950,0,0,22,12,0,984,34,249,256,-7,year0 bar MID→SF
Logan Evans,SD,1472,0,0,34,0,0,1506,34,172,175,-3,
Xavier Bamert,MID,436,24,0,11,-1,0,470,34,412,403,9,collateral: position-group ripple | year0 bar SF→MID
Jasper Alger,SF,361,25,0,9,0,0,395,34,457,437,20,collateral: position-group ripple
Mitch Georgiades,KPF,1488,-1,0,34,0,0,1521,33,170,174,-4,collateral: position-group ripple
Charlie Curnow,KPF,1593,-3,0,36,0,0,1626,33,157,164,-7,collateral: position-group ripple
Zach Reid,KPD,1401,1,0,32,0,0,1434,33,182,185,-3,collateral: position-group ripple
Aaron Naughton,KPF,1449,0,0,33,0,0,1482,33,176,179,-3,
Dane Rampe,SD,35,-33,0,0,0,0,2,-33,755,800,-45,EDITED: present_position: KPD→SD
Lachlan McAndrew,RUCK,1400,0,0,32,0,0,1432,32,183,186,-3,
Hugo Mikunda,SF,330,0,23,0,0,9,362,32,481,459,22,
Noah Roberts-Thomson,MID,437,13,10,7,0,2,469,32,410,404,6,collateral: position-group ripple | year0 bar SF→MID
Henry Smith,KPF,165,0,27,0,0,5,197,32,613,600,13,
Josh Lindsay,SD,2432,-25,0,56,0,0,2463,31,85,90,-5,collateral: position-group ripple
Sam Taylor,KPD,1448,1,0,34,-4,0,1479,31,177,181,-4,collateral: position-group ripple
Hussien El Achkar,SF,461,20,0,11,0,0,492,31,401,394,7,collateral: position-group ripple
Jarman Impey,SD,1104,2,0,26,2,0,1134,30,218,226,-8,collateral: position-group ripple
Jake Waterman,KPF,1391,-3,0,33,0,0,1421,30,187,188,-1,collateral: position-group ripple
Jacob Moss,KPD,263,23,0,7,0,0,293,30,534,509,25,collateral: position-group ripple | year0 bar KPF→KPD
Patrick Retschko,MID,1318,0,0,30,0,0,1348,30,192,199,-7,
Oliver Henry,KPF,91,1,13,0,16,0,121,30,675,644,31,collateral: position-group ripple | year0 bar SF→KPF | 2026 col-bar row SF→col KPF
Seth Campbell,SF,1095,3,0,26,0,0,1124,29,222,230,-8,collateral: position-group ripple
Brayden George,SF,308,0,22,0,0,7,337,29,496,480,16,
Jacob Newton,SF,195,24,0,5,0,0,224,29,587,571,16,collateral: position-group ripple
Bailey Banfield,SD,42,-11,0,1,-19,0,13,-29,737,786,-49,EDITED: future_position: SD→SF | year0 bar SF→SD
Josh Ward,MID,2721,-33,0,63,-2,0,2749,28,71,72,-1,collateral: position-group ripple
Andrew McGrath,SD,1132,2,0,26,0,0,1160,28,212,221,-9,collateral: position-group ripple
Zane Duursma,SF,751,10,0,18,0,0,779,28,292,294,-2,collateral: position-group ripple
Jacob Weitering,KPD,1204,-3,0,27,4,0,1232,28,198,210,-12,collateral: position-group ripple
James Peatling,MID,1441,-2,0,33,-3,0,1469,28,178,183,-5,collateral: position-group ripple
Sam Banks,SD,1197,0,0,28,0,0,1225,28,200,212,-12,2026 col-bar row MID→col SD
Christian Salem,SD,541,1,0,26,1,0,569,28,367,357,10,collateral: position-group ripple
Zak Johnson,SD,616,13,0,15,0,0,644,28,330,333,-3,collateral: position-group ripple
Tyrell Dewar,SD,177,-31,0,3,0,0,149,-28,606,632,-26,EDITED: future_position: SD→SF | year0 bar SF→SD
Jacob Farrow,SD,2639,-34,0,61,0,0,2666,27,74,76,-2,collateral: position-group ripple
Charlie Banfield,SF,667,2,0,11,9,5,694,27,315,319,-4,collateral: position-group ripple | year0 bar MID→SF
Lachlan Gulbin,SF,384,18,0,9,0,0,411,27,443,429,14,collateral: position-group ripple
Jed Walter,KPF,1148,0,0,26,0,0,1174,26,207,217,-10,
Brent Daniels,SF,1392,-7,0,33,0,0,1418,26,186,190,-4,collateral: position-group ripple
Darcy Fogarty,KPF,1025,2,0,24,0,0,1051,26,229,240,-11,collateral: position-group ripple
Adam Cerra,MID,1099,-1,0,26,1,0,1125,26,220,229,-9,collateral: position-group ripple
Rory Laird,SD,929,2,0,22,2,0,955,26,255,260,-5,collateral: position-group ripple
Caiden Cleary,SF,508,14,0,12,0,0,534,26,381,375,6,collateral: position-group ripple
Ben Miller,KPD,1145,-1,0,26,1,0,1171,26,208,218,-10,collateral: position-group ripple
Reilly O'Brien,RUCK,1038,0,0,23,3,0,1064,26,227,238,-11,
Maxwell King,KPF,270,0,20,0,0,6,296,26,529,507,22,year0 bar SF→KPF
Dylan Moore,SF,1371,-6,0,31,0,0,1396,25,188,193,-5,collateral: position-group ripple
Luke Trainor,SD,1507,-57,0,32,0,0,1482,-25,167,180,-13,collateral: position-group ripple | year0 bar KPD→SD | 2026 col-bar row KPD→col SD
Lachlan Carmichael,SD,602,0,-38,0,0,13,577,-25,335,352,-17,
Jack Gunston,KPF,1162,-2,0,27,0,0,1187,25,204,215,-11,collateral: position-group ripple
Finnegan Davis,SD,407,0,-34,0,0,9,382,-25,426,448,-22,
Oscar Ryan,SD,318,0,-32,0,0,7,293,-25,491,510,-19,
Karl Worner,SD,1078,0,0,25,0,0,1103,25,224,234,-10,
Hamish Davis,MID,949,2,0,23,0,0,974,25,250,257,-7,collateral: position-group ripple
Jakob Ryan,SD,307,0,-31,0,0,6,282,-25,497,522,-25,
Billy Frampton,KPD,92,0,0,-25,0,0,67,-25,672,708,-36,
Xavier O'Halloran,SF,47,23,0,2,0,0,72,25,729,706,23,EDITED: present_position: MID→SF | 2026 col-bar row MID→col SF
Aliir Aliir,KPD,969,-2,0,22,4,0,993,24,245,254,-9,collateral: position-group ripple
Jordan Croft,KPF,1027,0,0,24,0,0,1051,24,228,241,-13,
Oliver Griffin,SF,248,18,0,6,0,0,272,24,547,529,18,collateral: position-group ripple
Jai Saxena,SF,248,18,0,6,0,0,272,24,546,528,18,collateral: position-group ripple
Ryda Luke,SF,248,18,0,6,0,0,272,24,548,530,18,collateral: position-group ripple
Toby Whan,MID,248,18,0,6,0,0,272,24,549,532,17,collateral: position-group ripple | year0 bar SF→MID
Jacob Konstanty,SF,187,13,6,0,0,5,211,24,593,585,8,collateral: position-group ripple
Will Brodie,MID,1014,0,0,24,0,0,1038,24,235,245,-10,
Sam De Koning,KPD,1021,0,0,24,0,0,1045,24,232,243,-11,
Will Hayes,SF,344,16,0,8,0,0,368,24,471,455,16,collateral: position-group ripple
Jedd Busslinger,KPD,1025,-1,0,24,0,0,1048,23,230,242,-12,collateral: position-group ripple
Matt Johnson,MID,1053,-1,0,24,0,0,1076,23,226,236,-10,collateral: position-group ripple
Hugh Boxshall,MID,996,0,0,23,0,0,1019,23,242,251,-9,
Ethan Read,KPF,1002,0,0,22,0,0,1024,22,239,248,-9,
Harrison Oliver,SD,661,7,0,15,0,0,683,22,318,324,-6,collateral: position-group ripple
Lachie Jaques,SD,869,2,0,20,0,0,891,22,267,271,-4,collateral: position-group ripple
Jye Caldwell,MID,1144,-1,0,26,-3,0,1166,22,209,220,-11,collateral: position-group ripple
Samuel Swadling,MID,931,1,0,21,0,0,953,22,254,261,-7,collateral: position-group ripple
Billy Wilson,SD,962,0,0,22,0,0,984,22,246,255,-9,
Cillian Bourke,SD,347,-30,0,8,0,0,325,-22,468,491,-23,collateral: position-group ripple
Blake Hardwick,SD,670,1,0,24,-3,0,692,22,314,321,-7,collateral: position-group ripple
Chris Scerri,SF,385,13,0,9,0,0,407,22,442,432,10,collateral: position-group ripple
Aidan Johnson,KPF,69,20,0,2,0,0,91,22,704,680,24,collateral: position-group ripple
Taylor Goad,RUCK,1013,0,0,16,0,5,1034,21,236,246,-10,
Jordan Ridley,SD,883,0,0,21,0,0,904,21,265,269,-4,
Nic Newman,SD,792,2,0,18,1,0,813,21,283,286,-3,collateral: position-group ripple
Sean Darcy,RUCK,926,0,0,21,0,0,947,21,256,262,-6,
Jeremy Cameron,KPF,1000,-2,0,23,0,0,1021,21,240,250,-10,collateral: position-group ripple
Archer Reid,KPF,851,2,0,19,0,0,872,21,270,274,-4,collateral: position-group ripple
Noah Chamberlain,KPF,206,15,0,5,1,0,227,21,570,569,1,collateral: position-group ripple | year0 bar SF→KPF
Jack Ough,MID,703,5,-1,15,0,2,724,21,307,308,-1,collateral: position-group ripple
Keidean Coleman,SD,899,0,0,21,0,0,920,21,261,266,-5,
Josaia Delana,SF,400,11,0,10,0,0,421,21,432,423,9,collateral: position-group ripple
Isaac Keeler,KPF,296,0,15,6,0,0,317,21,509,494,15,
Tobie Travaglia,SD,708,3,0,17,0,0,728,20,304,305,-1,collateral: position-group ripple
Wil Powell,SD,936,2,0,23,-5,0,956,20,252,259,-7,collateral: position-group ripple | 2026 col-bar row MID→col SD
Joseph Fonti,SD,820,0,0,20,0,0,840,20,276,280,-4,
Bailey Williams,SD,771,2,0,18,0,0,791,20,289,291,-2,collateral: position-group ripple
Mitch Podhajski,KPF,29,19,0,1,0,0,49,20,771,727,44,collateral: position-group ripple
Will Setterfield,MID,786,0,0,18,2,0,806,20,286,289,-3,
Talor Byrne,SF,895,-1,0,21,0,0,915,20,262,267,-5,collateral: position-group ripple
River Stevens,SF,202,15,0,5,0,0,222,20,578,575,3,collateral: position-group ripple
Asher Eastham,SF,202,15,0,5,0,0,222,20,577,574,3,collateral: position-group ripple
Cooper Simpson,SD,271,0,-26,0,0,6,251,-20,528,552,-24,
Tom Anastasopoulos,SF,321,6,7,5,0,2,341,20,488,473,15,collateral: position-group ripple
Angus Sheldrick,MID,818,1,0,19,0,0,838,20,278,281,-3,collateral: position-group ripple
Elijah Hollands,SF,844,1,0,19,0,0,864,20,271,275,-4,collateral: position-group ripple
Luke Pedlar,SF,143,0,17,0,0,3,163,20,632,622,10,
Buku Khamis,KPF,197,0,0,4,16,0,217,20,582,583,-1,year0 bar KPD→KPF
Nick Bryan,RUCK,817,0,0,20,0,0,837,20,279,283,-4,
Paul Curtis,SF,1503,-16,0,35,0,0,1522,19,168,173,-5,collateral: position-group ripple
Toby Greene,SF,1021,-4,0,23,0,0,1040,19,233,244,-11,collateral: position-group ripple | 2026 col-bar row MID→col SF
Wil Dawson,KPD,624,-33,0,14,0,0,605,-19,327,345,-18,collateral: position-group ripple
Samuel Collins,KPD,795,-2,0,18,3,0,814,19,282,285,-3,collateral: position-group ripple
Matthew Kennedy,MID,752,-1,0,17,3,0,771,19,291,296,-5,collateral: position-group ripple
Lance Collard,SF,220,3,11,2,0,3,239,19,561,562,-1,collateral: position-group ripple
Miles Bergman,SD,830,0,0,19,0,0,849,19,275,278,-3,
Patrick Said,SF,186,0,14,0,0,5,205,19,595,592,3,
Jack Ison,MID,604,6,0,14,-1,0,623,19,334,340,-6,collateral: position-group ripple | year0 bar SF→MID
Tew Jiath,SD,260,0,-24,0,0,5,241,-19,539,559,-20,
Tom Hanily,SF,181,14,0,5,0,0,200,19,601,597,4,collateral: position-group ripple
Joe Richards,SF,1102,-6,0,24,0,0,1120,18,219,231,-12,collateral: position-group ripple
Kade Chandler,SF,1116,-8,0,26,0,0,1134,18,216,227,-11,collateral: position-group ripple
Angus Clarke,SD,789,0,0,18,0,0,807,18,284,288,-4,
Kai Lohmann,SF,787,0,0,18,0,0,805,18,285,290,-5,
Cody Anderson,SF,182,0,14,0,0,4,200,18,599,596,3,
Mitchell Lewis,KPF,682,2,0,16,0,0,700,18,311,317,-6,collateral: position-group ripple
Brodie Kemp,KPF,735,0,0,18,0,0,753,18,297,299,-2,
Rhys Unwin,SF,185,0,14,0,0,4,203,18,596,594,2,
Cooper Harvey,SF,645,2,0,16,0,0,663,18,322,327,-5,collateral: position-group ripple
Isaac Cumming,MID,62,0,0,1,-19,0,44,-18,709,737,-28,year0 bar SD→MID
Darcy Parish,MID,714,-1,0,17,1,0,731,17,303,304,-1,collateral: position-group ripple
Jack Buckley,KPD,723,0,0,17,0,0,740,17,300,302,-2,
Lucca Grego,SD,268,0,-23,0,0,6,251,-17,530,553,-23,
Brayden Maynard,SD,640,1,0,16,0,0,657,17,325,329,-4,collateral: position-group ripple
Oliver Francou,MID,548,4,0,13,0,0,565,17,362,359,3,collateral: position-group ripple
Luker Kentfield,KPF,395,8,0,9,0,0,412,17,436,427,9,collateral: position-group ripple
James O'Donnell,KPD,608,3,0,14,0,0,625,17,333,339,-6,collateral: position-group ripple
Campbell Lake,SF,203,13,0,4,0,0,220,17,575,577,-2,collateral: position-group ripple
Nick Larkey,KPF,661,2,0,15,0,0,678,17,319,325,-6,collateral: position-group ripple
Patrick Lipinski,SF,912,-5,0,21,0,0,928,16,259,264,-5,collateral: position-group ripple
Cooper Sharman,KPF,673,0,0,16,0,0,689,16,312,322,-10,
Lachlan Smith,RUCK,700,0,0,11,0,5,716,16,308,311,-3,
Lachlan Schultz,SF,834,-4,0,20,0,0,850,16,273,276,-3,collateral: position-group ripple
Zac Walker,KPD,280,-22,0,6,0,0,264,-16,520,539,-19,collateral: position-group ripple | year0 bar SD→KPD
Lachlan Cowan,SD,804,-2,0,18,0,0,820,16,281,284,-3,collateral: position-group ripple
Matthew Flynn,RUCK,673,0,0,16,0,0,689,16,313,323,-10,
Ollie Greeves,MID,647,1,0,15,0,0,663,16,321,328,-7,collateral: position-group ripple
Jayden Nguyen,SD,526,-27,0,11,0,0,510,-16,374,382,-8,collateral: position-group ripple
Thomas Burton,MID,437,7,0,10,-1,0,453,16,411,408,3,collateral: position-group ripple | year0 bar SF→MID
Malakai Champion,SF,402,7,0,9,0,0,418,16,431,426,5,collateral: position-group ripple
Tom Cochrane,SF,254,10,0,6,0,0,270,16,541,536,5,collateral: position-group ripple
Oscar Steene,KPF,544,0,0,14,2,0,560,16,365,365,0,year0 bar RUCK→KPF
Oscar Adams,KPD,80,14,0,2,0,0,96,16,693,672,21,EDITED: future_position: SD→KPD
Nathan O'Driscoll,MID,693,0,0,16,0,0,709,16,309,313,-4,
Xavier Taylor,SD,887,0,-6,12,0,9,902,15,264,270,-6,
Anthony Caminiti,KPF,1140,-10,0,25,0,0,1155,15,210,222,-12,collateral: position-group ripple
Jack Whitlock,KPF,1310,-16,0,31,0,0,1325,15,193,201,-8,collateral: position-group ripple
Ben Murphy,SD,301,-22,0,7,0,0,286,-15,501,516,-15,collateral: position-group ripple
Kobe McDonald,SD,301,-22,0,7,0,0,286,-15,503,517,-14,collateral: position-group ripple
Willem Drew,MID,721,-1,0,17,-1,0,736,15,301,303,-2,collateral: position-group ripple
Ricky Mentha,SF,161,11,0,4,0,0,176,15,623,615,8,collateral: position-group ripple
Benny Barrett,SF,161,11,0,4,0,0,176,15,621,613,8,collateral: position-group ripple
Lennox Hoffman,SD,299,-22,0,7,0,0,284,-15,507,521,-14,collateral: position-group ripple
Keighton Matofai-Forbes,SF,299,-22,0,7,0,0,284,-15,505,520,-15,collateral: position-group ripple | year0 bar SD→SF
Harry Charleson,SD,299,-22,0,7,0,0,284,-15,504,519,-15,collateral: position-group ripple
Nathan Wardius,SF,161,11,0,4,0,0,176,15,622,614,8,collateral: position-group ripple
Hudson O'Keeffe,KPF,286,9,0,6,0,0,301,15,517,503,14,collateral: position-group ripple | 2026 col-bar row RUCK→col KPF
Will McLachlan,SF,162,10,0,5,0,0,177,15,620,612,8,collateral: position-group ripple
Logan McDonald,KPF,706,-2,0,16,0,0,720,14,305,309,-4,collateral: position-group ripple
Charlie Edwards,SD,733,-1,-7,11,4,7,747,14,298,301,-3,collateral: position-group ripple | year0 bar MID→SD
Isaac Quaynor,SD,587,0,0,14,0,0,601,14,339,346,-7,
Caleb Lewis,KPF,205,10,0,4,0,0,219,14,571,579,-8,collateral: position-group ripple
Max Kondogiannis,SD,578,-26,0,12,0,0,564,-14,348,361,-13,collateral: position-group ripple
Indy Cotton,SF,301,-22,0,7,1,0,287,-14,502,513,-11,collateral: position-group ripple | year0 bar SD→SF
Adam Saad,SD,601,1,0,15,-2,0,615,14,336,341,-5,collateral: position-group ripple
Calsher Dear,KPF,1002,-9,0,23,0,0,1016,14,238,252,-14,collateral: position-group ripple
Scott Pendlebury,MID,470,0,0,12,2,0,484,14,396,397,-1,
Josh Lai,SD,535,2,0,12,0,0,549,14,372,368,4,collateral: position-group ripple | 2026 col-bar row MID→col SD
Billy Dowling,SF,191,3,6,2,0,3,205,14,591,591,0,collateral: position-group ripple
Rhett Bazzo,KPD,584,0,0,14,0,0,598,14,343,348,-5,
Max Ramsden,KPF,233,8,0,6,0,0,247,14,557,557,0,collateral: position-group ripple
Dylan Stephens,MID,491,2,0,12,0,0,505,14,385,383,2,collateral: position-group ripple
Harry Kyle,SD,1097,-13,0,26,0,0,1110,13,221,232,-11,collateral: position-group ripple
Will Green,RUCK,659,0,0,0,0,13,672,13,320,326,-6,
Jai Murray,MID,1330,-18,0,31,0,0,1343,13,190,200,-10,collateral: position-group ripple
Jack Dalton,MID,617,-7,8,10,0,2,630,13,329,336,-7,collateral: position-group ripple | year0 bar SF→MID
Joshua Kelly,MID,536,-1,0,12,2,0,549,13,371,369,2,collateral: position-group ripple
Tobyn Murray,SF,399,0,4,0,0,9,412,13,434,428,6,
Balyn O'Brien,SD,362,-21,0,8,0,0,349,-13,455,466,-11,collateral: position-group ripple
Jacob Molier,RUCK,489,0,0,0,0,13,502,13,387,386,1,
Fred Rodriguez,SF,416,0,0,10,3,0,429,13,419,418,1,year0 bar MID→SF
Nick Driscoll,SF,416,0,0,10,3,0,429,13,420,419,1,year0 bar MID→SF
Tom Brown,SD,577,0,0,13,0,0,590,13,350,350,0,
Liam Baker,SD,558,0,0,13,0,0,571,13,359,356,3,
James Borlase,KPD,551,0,0,13,0,0,564,13,360,360,0,
Harry Sharp,SF,62,11,0,2,0,0,75,13,708,701,7,EDITED: present_position: MID→SF
Jy Farrar,KPF,11,12,0,1,0,0,24,13,789,775,14,EDITED: present_position: SD→KPF
Shaun Mannagh,SF,704,-4,0,16,0,0,716,12,306,312,-6,collateral: position-group ripple
Tai Hayes,SF,262,0,6,0,0,6,274,12,537,527,10,
Jaxon Artemis,SD,370,-20,0,8,0,0,358,-12,452,461,-9,collateral: position-group ripple
Alex Dodson,KPF,487,0,0,0,0,12,499,12,388,389,-1,year0 bar RUCK→KPF
Will Darcy,KPF,479,0,1,0,0,11,491,12,392,395,-3,year0 bar KPD→KPF
Matthew Jefferson,KPF,487,0,0,12,0,0,499,12,389,390,-1,
Max Gruzewski,KPF,549,-1,0,13,0,0,561,12,361,364,-3,collateral: position-group ripple
Cameron Rayner,SF,870,-9,0,21,0,0,882,12,266,272,-6,collateral: position-group ripple
Francis Evans,SF,468,0,0,12,0,0,480,12,397,398,-1,
Will Lorenz,MID,427,2,0,8,0,2,439,12,414,414,0,collateral: position-group ripple
Josh Draper,KPD,525,0,0,12,0,0,537,12,375,374,1,
Alex Davies,MID,477,1,0,11,0,0,489,12,393,396,-3,collateral: position-group ripple
Liam McMahon,KPF,197,2,6,3,0,1,209,12,583,587,-4,collateral: position-group ripple
Sam Sturt,SF,53,0,10,0,0,2,65,12,720,711,9,
Koby Coulson,MID,422,0,2,0,0,9,433,11,415,416,-1,
Charlie Comben,KPD,1012,0,0,11,0,0,1023,11,237,249,-12,
Eamonn Armstrong,SD,196,-15,0,4,0,0,185,-11,585,607,-22,collateral: position-group ripple
Michael Sellwood,SD,197,6,0,5,0,0,208,11,584,588,-4,collateral: position-group ripple
Mitch Zadow,SF,86,8,0,3,0,0,97,11,685,670,15,collateral: position-group ripple
Riley Hamilton,SF,329,4,0,7,0,0,340,11,482,476,6,collateral: position-group ripple
Rob Monahan,SD,187,-16,0,5,0,0,176,-11,594,616,-22,collateral: position-group ripple
Marc Pittonet,RUCK,541,0,0,12,-1,0,552,11,368,366,2,
James Worpel,MID,490,0,0,11,0,0,501,11,386,387,-1,
Mitchell Hinge,SD,468,0,0,11,0,0,479,11,398,400,-2,
Jack Bowes,MID,105,0,8,0,0,3,116,11,657,647,10,
Josh Battle,KPD,2263,-4,0,6,8,0,2273,10,95,102,-7,collateral: position-group ripple
Sam Marshall,MID,866,-11,0,21,0,0,876,10,268,273,-5,collateral: position-group ripple
Max Beattie,SF,52,8,0,2,0,0,62,10,721,712,9,collateral: position-group ripple
Kye Fincher,SD,391,0,1,0,0,9,401,10,437,434,3,year0 bar MID→SD
Riley Onley,MID,416,0,0,10,0,0,426,10,421,421,0,
Jack Viney,MID,359,0,0,9,1,0,369,10,459,454,5,
Nick Murray,KPD,438,0,0,10,0,0,448,10,408,411,-3,
Oliver Wines,MID,381,0,0,10,0,0,391,10,446,442,4,
Sam Butler,SF,100,0,7,0,0,3,110,10,663,657,6,
Judson Clarke,SF,88,0,7,0,0,3,98,10,679,668,11,
Hayden McLean,KPF,377,0,0,10,0,0,387,10,448,445,3,
Heath Chapman,SD,483,0,0,10,0,0,493,10,391,393,-2,
Ryan Angwin,MID,493,-1,0,11,0,0,503,10,384,384,0,collateral: position-group ripple
Samson Ryan,RUCK,410,0,0,10,0,0,420,10,424,424,0,
Jacob Hopper,MID,120,0,7,0,0,3,130,10,642,638,4,
Jade Gresham,SF,49,0,9,0,0,1,59,10,723,713,10,
Blake Thredgold,KPD,562,0,-3,0,0,12,571,9,356,355,1,
Harry Barnett,RUCK,620,0,0,0,0,9,629,9,328,338,-10,
Toby Conway,RUCK,568,0,0,0,0,9,577,9,354,353,1,
Josh Gibcus,KPD,205,-14,0,5,0,0,196,-9,573,602,-29,collateral: position-group ripple
Matthew LeRay,MID,381,0,0,0,0,9,390,9,445,444,1,
Ashton Moir,SF,296,-4,6,5,0,2,305,9,508,501,7,collateral: position-group ripple
Liam Fawcett,KPF,517,-3,0,12,0,0,526,9,378,377,1,collateral: position-group ripple
Brennan Cox,KPD,376,0,0,9,0,0,385,9,450,447,3,
Mason Wood,SF,513,-4,0,13,0,0,522,9,380,380,0,collateral: position-group ripple
Jake Riccardi,KPF,387,0,0,9,0,0,396,9,440,436,4,
Brady Hough,SD,362,0,0,9,0,0,371,9,456,453,3,
Jeremy Howe,SD,358,1,0,9,-1,0,367,9,460,456,4,collateral: position-group ripple
Tom Atkins,MID,410,-1,0,9,1,0,419,9,425,425,0,collateral: position-group ripple
Mabior Chol,KPF,388,0,0,9,0,0,397,9,439,435,4,
Liam Duggan,SD,356,1,0,10,-2,0,365,9,462,457,5,collateral: position-group ripple
Judd McVee,SD,377,0,0,9,0,0,386,9,449,446,3,
Jaxon Prior,SD,381,0,0,9,0,0,390,9,444,443,1,
Callum Coleman-Jones,RUCK,39,0,8,0,0,1,48,9,745,729,16,year0 bar KPF→RUCK
Patrick Dangerfield,SF,82,0,7,0,0,2,91,9,690,683,7,EDITED: present_position: MID→SF
Jesse Mellor,SF,295,0,0,6,2,0,303,8,511,502,9,year0 bar MID→SF
Ben King,KPF,341,0,0,8,0,0,349,8,472,467,5,
Max Knobel,RUCK,508,0,0,0,0,8,516,8,382,381,1,
Angus Hastie,SD,331,0,0,8,0,0,339,8,479,477,2,
Milan Murdock,SF,345,0,0,8,0,0,353,8,470,465,5,
Leek Aleer,KPD,279,1,0,7,0,0,287,8,521,514,7,collateral: position-group ripple
Sam Clohesy,MID,262,1,0,7,0,0,270,8,535,535,0,collateral: position-group ripple
Zane Zakostelsky,KPD,467,-1,-1,7,0,3,475,8,399,402,-3,collateral: position-group ripple
Kye Annand,KPD,173,3,0,5,0,0,181,8,609,609,0,collateral: position-group ripple
Tom Doedee,SD,353,0,0,8,0,0,361,8,465,460,5,
Kaleb Smith,SD,130,0,-11,0,0,3,122,-8,637,643,-6,
Corey Warner,SF,74,0,6,0,0,2,82,8,700,692,8,
Jarrod Berry,MID,324,0,0,8,0,0,332,8,484,484,0,
Jesse Hogan,KPF,321,0,0,8,0,0,329,8,487,489,-2,
Mitchell Knevitt,MID,169,4,0,4,0,0,177,8,610,610,0,collateral: position-group ripple
Jack Williams,KPF,532,-5,0,13,0,0,540,8,373,373,0,collateral: position-group ripple
Zach Guthrie,SD,319,0,0,8,0,0,327,8,490,490,0,
Ned Reeves,RUCK,322,0,0,8,0,0,330,8,486,487,-1,
Liam Henry,SF,84,0,5,0,0,3,92,8,688,678,10,
Hunter Holmes,MID,577,0,-7,0,0,14,584,7,349,351,-2,
Riley Bice,SD,333,0,0,7,0,0,340,7,477,475,2,
Lewis Hayes,SD,372,0,-1,0,0,8,379,7,451,449,2,year0 bar KPD→SD
Archie May,KPF,471,-3,0,10,0,0,478,7,395,401,-6,collateral: position-group ripple
Ben Camporeale,MID,290,0,1,0,0,6,297,7,513,506,7,
Matt Hill,SD,116,5,0,3,-1,0,123,7,645,642,3,collateral: position-group ripple | year0 bar SF→SD
Archie Perkins,SF,302,0,0,7,0,0,309,7,500,500,0,
Cillian Burke,SD,98,-9,0,2,0,0,91,-7,665,681,-16,collateral: position-group ripple
Tom Gross,SF,637,-21,0,13,15,0,644,7,326,332,-6,collateral: position-group ripple | year0 bar MID→SF
Clay Hall,MID,347,0,0,5,0,2,354,7,469,463,6,
Lucas Camporeale,MID,250,0,0,0,0,7,257,7,544,543,1,
Brayden Fiorini,MID,278,0,0,7,0,0,285,7,522,518,4,
Tom Papley,SF,525,-6,0,13,0,0,532,7,376,376,0,collateral: position-group ripple
Edward Allan,MID,842,-13,0,20,0,0,849,7,272,277,-5,collateral: position-group ripple
Harvey Johnston,SD,250,1,0,6,0,0,257,7,543,542,1,collateral: position-group ripple
Steely Green,SF,168,3,0,4,0,0,175,7,612,617,-5,collateral: position-group ripple
Noah Long,SF,199,1,0,6,0,0,206,7,580,590,-10,collateral: position-group ripple
Charlie Cameron,SF,288,0,0,7,0,0,295,7,515,508,7,
Finnbar Maley,KPF,305,0,0,7,0,0,312,7,499,498,1,
Toby Murray,KPF,284,0,0,7,0,0,291,7,518,512,6,
Ben Ainsworth,SF,312,0,0,7,0,0,319,7,494,492,2,
Conor Nash,MID,341,0,0,7,0,0,348,7,473,468,5,
Blake Acres,MID,244,0,0,7,0,0,251,7,553,551,2,
Bailey Laurie,SF,69,0,5,0,0,2,76,7,705,700,5,
Eric Hipwood,KPF,44,0,6,0,0,1,51,7,734,726,8,
Ryan Byrnes,SD,89,5,0,2,0,0,96,7,677,673,4,EDITED: present_position: MID→SD
Jack Martin,SF,97,0,5,0,0,2,104,7,667,662,5,
Steele Sidebottom,MID,99,0,5,0,0,2,106,7,664,660,4,
Conor McKenna,SF,2,7,0,0,0,0,9,7,800,795,5,EDITED: present_position: SD→SF
Max King,KPF,332,0,0,6,0,0,338,6,478,479,-1,
Sam Allen,SF,687,0,-11,0,0,17,693,6,310,320,-10,year0 bar MID→SF
