player,pos_before,pos_after,v_baseline,v_after_stageA,v_final,delta_total,delta_stageA,stageA_your_edit_effect,stageA_rebake_effect,your_edit,stageA_cause,delta_stageB,stageB_levers,rank_before,rank_final,rank_move
Tom McCartin,KPD,KPD,1984,1980,1937,-47,-4,-4,0,,the 62 edits (gfut cohort),-43,played-axis/other,124,135,-11
Patrick Cripps,MID,MID,1834,1833,1881,47,-1,-1,0,,the 62 edits (gfut cohort),48,played-axis/other,137,139,-2
Cameron Nairn,SF,SF,737,766,784,47,29,-4,33,,the 62 edits (gfut cohort),18,played-axis/other; curve+pool,295,292,3
Hayden Young,MID,MID,2026,2025,2073,47,-1,-1,0,,the 62 edits (gfut cohort),48,played-axis/other,116,122,-6
Ryan Maric,MID,SD,1453,1453,1500,47,0,0,0,,,47,year0 bar MID→SD,175,176,-1
Matthew Roberts,SD,SD,1995,1995,2042,47,0,0,0,,,47,2026 col-bar row MID→col SD,122,126,-4
Mitchito Owens,KPF,KPF,2010,2010,2056,46,0,0,0,,,46,played-axis/other,119,124,-5
Jack Ginnivan,SF,SF,2458,2447,2504,46,-11,-11,0,,the 62 edits (gfut cohort),57,played-axis/other,82,85,-3
Matt Whitlock,KPF,KPF,563,596,609,46,33,4,29,,the 62 edits (gfut cohort),13,played-axis/other; curve+pool,355,343,12
Thomas Sims,KPF,KPF,1105,1124,1151,46,19,19,0,,the 62 edits (gfut cohort),27,played-axis/other,217,223,-6
Mitchell Edwards,RUCK,RUCK,2009,2009,2055,46,0,0,0,,,46,played-axis/other,120,125,-5
Braeden Campbell,SD,SF,331,331,377,46,0,0,0,,,46,year0 bar SD→SF,480,450,30
Shai Bolton,SF,SF,2399,2389,2444,45,-10,-10,0,,the 62 edits (gfut cohort),55,played-axis/other,89,93,-4
Lawson Humphries,SD,SD,1927,1930,1972,45,3,3,0,,the 62 edits (gfut cohort),42,played-axis/other,128,129,-1
Hugh McCluggage,MID,MID,1746,1745,1791,45,-1,-1,0,,the 62 edits (gfut cohort),46,played-axis/other,145,147,-2
Ned Moyle,RUCK,RUCK,2074,2074,2119,45,0,0,0,,,45,played-axis/other,111,120,-9
Jevan Phillipou,SF,MID,449,483,494,45,34,0,34,,stage-A v0surf re-bake,11,year0 bar SF→MID; curve+pool,404,392,12
Callum Mills,SD,SD,2228,2233,2272,44,5,5,0,,the 62 edits (gfut cohort),39,played-axis/other,97,103,-6
Harris Andrews,KPD,KPD,1917,1913,1961,44,-4,-4,0,,the 62 edits (gfut cohort),48,played-axis/other,129,132,-3
Avery Thomas,SD,SD,538,483,494,-44,-55,0,-55,,stage-A v0surf re-bake,11,curve+pool,369,391,-22
Harvey Langford,MID,MID,2427,2413,2470,43,-14,-14,0,,the 62 edits (gfut cohort),57,played-axis/other,86,88,-2
Luke Ryan,SD,SD,1565,1568,1608,43,3,3,0,,the 62 edits (gfut cohort),40,played-axis/other,161,165,-4
Jesse Dattoli,SF,SF,407,440,450,43,33,0,33,,stage-A v0surf re-bake,10,curve+pool,427,409,18
Mark Keane,KPD,KPD,1777,1775,1819,42,-2,-2,0,,the 62 edits (gfut cohort),44,played-axis/other,143,144,-1
Nate Caddy,KPF,KPF,1770,1771,1812,42,1,1,0,,the 62 edits (gfut cohort),41,played-axis/other,144,146,-2
Jack Steele,MID,MID,1647,1646,1689,42,-1,-1,0,,the 62 edits (gfut cohort),43,played-axis/other,151,156,-5
Mason Redman,SD,SD,1594,1596,1636,42,2,2,0,,the 62 edits (gfut cohort),40,played-axis/other,155,162,-7
Jobe Shanahan,KPF,KPF,1811,1810,1853,42,-1,-1,0,,the 62 edits (gfut cohort),43,played-axis/other,140,142,-2
Joel Jeffrey,SD,SD,1987,1990,2029,42,3,3,0,,the 62 edits (gfut cohort),39,played-axis/other,123,127,-4
Noah Howes,KPF,KPF,306,340,348,42,34,34,0,,the 62 edits (gfut cohort),8,played-axis/other,498,469,29
Tyler Welsh,KPF,KPF,224,260,266,42,36,0,36,,stage-A v0surf re-bake,6,curve+pool,560,538,22
Caleb Daniel,SD,SD,1510,1513,1551,41,3,3,0,,the 62 edits (gfut cohort),38,played-axis/other,165,171,-6
Thomas Liberatore,MID,MID,1566,1565,1607,41,-1,-1,0,,the 62 edits (gfut cohort),42,played-axis/other,160,166,-6
Trent Rivers,SD,SD,1718,1722,1759,41,4,4,0,,the 62 edits (gfut cohort),37,played-axis/other,148,152,-4
Neil Erasmus,MID,MID,1024,1041,1065,41,17,17,0,,the 62 edits (gfut cohort),24,played-axis/other,231,237,-6
Koby Evans,SF,MID,417,448,458,41,31,0,31,,stage-A v0surf re-bake,10,year0 bar SF→MID; curve+pool,417,407,10
Liam Hetherton,KPF,KPF,351,383,392,41,32,32,0,,the 62 edits (gfut cohort),9,played-axis/other,467,439,28
Cooper Lord,MID,MID,1128,1141,1169,41,13,13,0,,the 62 edits (gfut cohort),28,played-axis/other,213,219,-6
Jye Amiss,KPF,KPF,1713,1713,1753,40,0,0,0,,,40,played-axis/other,149,153,-4
Darcy Cameron,RUCK,RUCK,1548,1548,1588,40,0,0,0,,,40,played-axis/other,164,169,-5
Bo Allan,SD,SD,1184,1196,1224,40,12,12,0,,the 62 edits (gfut cohort),28,2026 col-bar row MID→col SD,201,213,-12
Daniel Turner,KPD,KPD,1727,1725,1767,40,-2,-2,0,,the 62 edits (gfut cohort),42,played-axis/other,147,149,-2
Tylah Williams,SF,SF,407,436,447,40,29,0,29,,stage-A v0surf re-bake,11,curve+pool,428,412,16
Tom McCarthy,SD,SD,1594,1596,1633,39,2,2,0,,the 62 edits (gfut cohort),37,played-axis/other,156,163,-7
Harry McKay,KPF,KPF,1833,1829,1872,39,-4,-4,0,,the 62 edits (gfut cohort),43,played-axis/other,138,141,-3
Kane Farrell,SD,SD,1453,1456,1492,39,3,3,0,,the 62 edits (gfut cohort),36,played-axis/other,174,178,-4
Cody Curtin,KPF,KPF,664,687,703,39,23,8,15,,the 62 edits (gfut cohort),16,played-axis/other; curve+pool,317,316,1
Joshua Weddle,SD,SD,1651,1651,1689,38,0,0,0,,,38,2026 col-bar row MID→col SD,150,157,-7
Alix Tauru,KPD,KPF,1608,1535,1571,-37,-73,-73,0,,the 62 edits (gfut cohort),36,year0 bar KPD→KPF,153,170,-17
Peter Wright,KPF,KPF,1730,1727,1767,37,-3,-3,0,,the 62 edits (gfut cohort),40,2026 col-bar row RUCK→col KPF,146,150,-4
Ollie Dempsey,MID,MID,2174,2170,2211,37,-4,-4,0,,the 62 edits (gfut cohort),41,played-axis/other,100,110,-10
Massimo D'Ambrosio,MID,MID,1632,1632,1669,37,0,0,0,,,37,played-axis/other,152,160,-8
Josh Rachele,SF,SF,2114,2101,2150,36,-13,-13,0,,the 62 edits (gfut cohort),49,2026 col-bar row MID→col SF,107,117,-10
Gryan Miers,SF,SF,1928,1919,1964,36,-9,-9,0,,the 62 edits (gfut cohort),45,played-axis/other,127,130,-3
Jayden Short,SD,SD,1270,1273,1306,36,3,3,0,,the 62 edits (gfut cohort),33,played-axis/other,195,205,-10
Josh Dunkley,MID,MID,1395,1394,1431,36,-1,-1,0,,the 62 edits (gfut cohort),37,played-axis/other,184,187,-3
Harry Armstrong,KPF,KPF,995,1008,1031,36,13,13,0,,the 62 edits (gfut cohort),23,played-axis/other,243,247,-4
Josh Dolan,SF,SF,465,489,501,36,24,24,0,,the 62 edits (gfut cohort),12,played-axis/other,400,388,12
Leon Kickett,SF,SF,370,396,406,36,26,26,0,,the 62 edits (gfut cohort),10,played-axis/other,453,433,20
Angus Anderson,MID,SF,204,205,240,36,1,1,0,,the 62 edits (gfut cohort),35,year0 bar MID→SF,574,560,14
Nick Madden,RUCK,RUCK,1897,1897,1932,35,0,0,0,,,35,played-axis/other,132,136,-4
Lloyd Meek,RUCK,RUCK,1441,1441,1476,35,0,0,0,,,35,played-axis/other,179,182,-3
Zane Peucker,SF,SF,598,619,633,35,21,3,18,,the 62 edits (gfut cohort),14,played-axis/other; curve+pool,338,335,3
William McCabe,KPF,KPD,740,759,775,35,19,2,17,,the 62 edits (gfut cohort),16,year0 bar KPF→KPD; curve+pool,294,295,-1
Elijah Tsatas,MID,MID,1327,1331,1362,35,4,4,0,,the 62 edits (gfut cohort),31,played-axis/other,191,197,-6
Ty Gallop,KPF,KPF,1563,1562,1598,35,-1,-1,0,,the 62 edits (gfut cohort),36,played-axis/other,162,168,-6
Jay Polkinghorne,SF,KPF,338,362,373,35,24,15,9,,the 62 edits (gfut cohort),11,year0 bar SF→KPF; 2026 col-bar row SF→col KPF; curve+pool,474,452,22
Harrison Petty,KPD,KPF,191,191,226,35,0,0,0,,,35,year0 bar KPD→KPF,592,570,22
Aaron Cadman,KPF,KPF,1842,1834,1876,34,-8,-8,0,,the 62 edits (gfut cohort),42,played-axis/other,136,140,-4
Thomas Stewart,SD,SD,1237,1240,1271,34,3,3,0,,the 62 edits (gfut cohort),31,played-axis/other,197,207,-10
Cooper Hynes,MID,SF,1272,1265,1306,34,-7,-7,0,,the 62 edits (gfut cohort),41,year0 bar MID→SF,194,204,-10
Ned Bowman,SF,SF,357,383,391,34,26,0,26,,stage-A v0surf re-bake,8,curve+pool,461,441,20
Christian Moraes,MID,SF,950,950,984,34,0,0,0,,,34,year0 bar MID→SF,249,256,-7
Logan Evans,SD,SD,1472,1472,1506,34,0,0,0,,,34,played-axis/other,172,175,-3
Xavier Bamert,SF,MID,436,460,470,34,24,24,0,,the 62 edits (gfut cohort),10,year0 bar SF→MID,412,403,9
Jasper Alger,SF,SF,361,386,395,34,25,25,0,,the 62 edits (gfut cohort),9,played-axis/other,457,437,20
Mitch Georgiades,KPF,KPF,1488,1487,1521,33,-1,-1,0,,the 62 edits (gfut cohort),34,played-axis/other,170,174,-4
Charlie Curnow,KPF,KPF,1593,1590,1626,33,-3,-3,0,,the 62 edits (gfut cohort),36,played-axis/other,157,164,-7
Zach Reid,KPD,KPD,1401,1402,1434,33,1,1,0,,the 62 edits (gfut cohort),32,played-axis/other,182,185,-3
Aaron Naughton,KPF,KPF,1449,1449,1482,33,0,0,0,,,33,played-axis/other,176,179,-3
Dane Rampe,KPD,SD,35,2,2,-33,-33,-33,0,present_position: KPD→SD,the 62 edits (own row),0,,755,800,-45
Lachlan McAndrew,RUCK,RUCK,1400,1400,1432,32,0,0,0,,,32,played-axis/other,183,186,-3
Hugo Mikunda,SF,SF,330,353,362,32,23,0,23,,stage-A v0surf re-bake,9,curve+pool,481,459,22
Noah Roberts-Thomson,SF,MID,437,460,469,32,23,13,10,,the 62 edits (gfut cohort),9,year0 bar SF→MID; curve+pool,410,404,6
Henry Smith,KPF,KPF,165,192,197,32,27,0,27,,stage-A v0surf re-bake,5,curve+pool,613,600,13
Josh Lindsay,SD,SD,2432,2407,2463,31,-25,-25,0,,the 62 edits (gfut cohort),56,played-axis/other,85,90,-5
Sam Taylor,KPD,KPD,1448,1449,1479,31,1,1,0,,the 62 edits (gfut cohort),30,played-axis/other,177,181,-4
Hussien El Achkar,SF,SF,461,481,492,31,20,20,0,,the 62 edits (gfut cohort),11,played-axis/other,401,394,7
Jarman Impey,SD,SD,1104,1106,1134,30,2,2,0,,the 62 edits (gfut cohort),28,played-axis/other,218,226,-8
Jake Waterman,KPF,KPF,1391,1388,1421,30,-3,-3,0,,the 62 edits (gfut cohort),33,played-axis/other,187,188,-1
Jacob Moss,KPF,KPD,263,286,293,30,23,23,0,,the 62 edits (gfut cohort),7,year0 bar KPF→KPD,534,509,25
Patrick Retschko,MID,MID,1318,1318,1348,30,0,0,0,,,30,played-axis/other,192,199,-7
Oliver Henry,SF,KPF,91,105,121,30,14,1,13,,the 62 edits (gfut cohort),16,year0 bar SF→KPF; 2026 col-bar row SF→col KPF,675,644,31
Seth Campbell,SF,SF,1095,1098,1124,29,3,3,0,,the 62 edits (gfut cohort),26,played-axis/other,222,230,-8
Brayden George,SF,SF,308,330,337,29,22,0,22,,stage-A v0surf re-bake,7,curve+pool,496,480,16
Jacob Newton,SF,SF,195,219,224,29,24,24,0,,the 62 edits (gfut cohort),5,played-axis/other,587,571,16
Bailey Banfield,SF,SD,42,31,13,-29,-11,-11,0,future_position: SD→SF,the 62 edits (own row),-18,year0 bar SF→SD,737,786,-49
Josh Ward,MID,MID,2721,2688,2749,28,-33,-33,0,,the 62 edits (gfut cohort),61,played-axis/other,71,72,-1
Andrew McGrath,SD,SD,1132,1134,1160,28,2,2,0,,the 62 edits (gfut cohort),26,played-axis/other,212,221,-9
Zane Duursma,SF,SF,751,761,779,28,10,10,0,,the 62 edits (gfut cohort),18,played-axis/other,292,294,-2
Jacob Weitering,KPD,KPD,1204,1201,1232,28,-3,-3,0,,the 62 edits (gfut cohort),31,played-axis/other,198,210,-12
James Peatling,MID,MID,1441,1439,1469,28,-2,-2,0,,the 62 edits (gfut cohort),30,played-axis/other,178,183,-5
Sam Banks,SD,SD,1197,1197,1225,28,0,0,0,,,28,2026 col-bar row MID→col SD,200,212,-12
Christian Salem,SD,SD,541,542,569,28,1,1,0,,the 62 edits (gfut cohort),27,played-axis/other,367,357,10
Zak Johnson,SD,SD,616,629,644,28,13,13,0,,the 62 edits (gfut cohort),15,played-axis/other,330,333,-3
Tyrell Dewar,SF,SD,177,146,149,-28,-31,-31,0,future_position: SD→SF,the 62 edits (own row),3,year0 bar SF→SD,606,632,-26
Jacob Farrow,SD,SD,2639,2605,2666,27,-34,-34,0,,the 62 edits (gfut cohort),61,played-axis/other,74,76,-2
Charlie Banfield,MID,SF,667,669,694,27,2,2,0,,the 62 edits (gfut cohort),25,year0 bar MID→SF; curve+pool,315,319,-4
Lachlan Gulbin,SF,SF,384,402,411,27,18,18,0,,the 62 edits (gfut cohort),9,played-axis/other,443,429,14
Jed Walter,KPF,KPF,1148,1148,1174,26,0,0,0,,,26,played-axis/other,207,217,-10
Brent Daniels,SF,SF,1392,1385,1418,26,-7,-7,0,,the 62 edits (gfut cohort),33,played-axis/other,186,190,-4
Darcy Fogarty,KPF,KPF,1025,1027,1051,26,2,2,0,,the 62 edits (gfut cohort),24,played-axis/other,229,240,-11
Adam Cerra,MID,MID,1099,1098,1125,26,-1,-1,0,,the 62 edits (gfut cohort),27,played-axis/other,220,229,-9
Rory Laird,SD,SD,929,931,955,26,2,2,0,,the 62 edits (gfut cohort),24,played-axis/other,255,260,-5
Caiden Cleary,SF,SF,508,522,534,26,14,14,0,,the 62 edits (gfut cohort),12,played-axis/other,381,375,6
Ben Miller,KPD,KPD,1145,1144,1171,26,-1,-1,0,,the 62 edits (gfut cohort),27,played-axis/other,208,218,-10
Reilly O'Brien,RUCK,RUCK,1038,1038,1064,26,0,0,0,,,26,played-axis/other,227,238,-11
Maxwell King,SF,KPF,270,290,296,26,20,0,20,,stage-A v0surf re-bake,6,year0 bar SF→KPF; curve+pool,529,507,22
Dylan Moore,SF,SF,1371,1365,1396,25,-6,-6,0,,the 62 edits (gfut cohort),31,played-axis/other,188,193,-5
Luke Trainor,KPD,SD,1507,1450,1482,-25,-57,-57,0,,the 62 edits (gfut cohort),32,year0 bar KPD→SD; 2026 col-bar row KPD→col SD,167,180,-13
Lachlan Carmichael,SD,SD,602,564,577,-25,-38,0,-38,,stage-A v0surf re-bake,13,curve+pool,335,352,-17
Jack Gunston,KPF,KPF,1162,1160,1187,25,-2,-2,0,,the 62 edits (gfut cohort),27,played-axis/other,204,215,-11
Finnegan Davis,SD,SD,407,373,382,-25,-34,0,-34,,stage-A v0surf re-bake,9,curve+pool,426,448,-22
Oscar Ryan,SD,SD,318,286,293,-25,-32,0,-32,,stage-A v0surf re-bake,7,curve+pool,491,510,-19
Karl Worner,SD,SD,1078,1078,1103,25,0,0,0,,,25,played-axis/other,224,234,-10
Hamish Davis,MID,MID,949,951,974,25,2,2,0,,the 62 edits (gfut cohort),23,played-axis/other,250,257,-7
Jakob Ryan,SD,SD,307,276,282,-25,-31,0,-31,,stage-A v0surf re-bake,6,curve+pool,497,522,-25
Billy Frampton,KPD,KPD,92,92,67,-25,0,0,0,,,-25,played-axis/other,672,708,-36
Xavier O'Halloran,MID,SF,47,70,72,25,23,23,0,present_position: MID→SF,the 62 edits (own row),2,2026 col-bar row MID→col SF,729,706,23
Aliir Aliir,KPD,KPD,969,967,993,24,-2,-2,0,,the 62 edits (gfut cohort),26,played-axis/other,245,254,-9
Jordan Croft,KPF,KPF,1027,1027,1051,24,0,0,0,,,24,played-axis/other,228,241,-13
Oliver Griffin,SF,SF,248,266,272,24,18,18,0,,the 62 edits (gfut cohort),6,played-axis/other,547,529,18
Jai Saxena,SF,SF,248,266,272,24,18,18,0,,the 62 edits (gfut cohort),6,played-axis/other,546,528,18
Ryda Luke,SF,SF,248,266,272,24,18,18,0,,the 62 edits (gfut cohort),6,played-axis/other,548,530,18
Toby Whan,SF,MID,248,266,272,24,18,18,0,,the 62 edits (gfut cohort),6,year0 bar SF→MID,549,532,17
Jacob Konstanty,SF,SF,187,206,211,24,19,13,6,,the 62 edits (gfut cohort),5,curve+pool,593,585,8
Will Brodie,MID,MID,1014,1014,1038,24,0,0,0,,,24,played-axis/other,235,245,-10
Sam De Koning,KPD,KPD,1021,1021,1045,24,0,0,0,,,24,played-axis/other,232,243,-11
Will Hayes,SF,SF,344,360,368,24,16,16,0,,the 62 edits (gfut cohort),8,played-axis/other,471,455,16
Jedd Busslinger,KPD,KPD,1025,1024,1048,23,-1,-1,0,,the 62 edits (gfut cohort),24,played-axis/other,230,242,-12
Matt Johnson,MID,MID,1053,1052,1076,23,-1,-1,0,,the 62 edits (gfut cohort),24,played-axis/other,226,236,-10
Hugh Boxshall,MID,MID,996,996,1019,23,0,0,0,,,23,played-axis/other,242,251,-9
Ethan Read,KPF,KPF,1002,1002,1024,22,0,0,0,,,22,played-axis/other,239,248,-9
Harrison Oliver,SD,SD,661,668,683,22,7,7,0,,the 62 edits (gfut cohort),15,played-axis/other,318,324,-6
Lachie Jaques,SD,SD,869,871,891,22,2,2,0,,the 62 edits (gfut cohort),20,played-axis/other,267,271,-4
Jye Caldwell,MID,MID,1144,1143,1166,22,-1,-1,0,,the 62 edits (gfut cohort),23,played-axis/other,209,220,-11
Samuel Swadling,MID,MID,931,932,953,22,1,1,0,,the 62 edits (gfut cohort),21,played-axis/other,254,261,-7
Billy Wilson,SD,SD,962,962,984,22,0,0,0,,,22,played-axis/other,246,255,-9
Cillian Bourke,SD,SD,347,317,325,-22,-30,-30,0,,the 62 edits (gfut cohort),8,played-axis/other,468,491,-23
Blake Hardwick,SD,SD,670,671,692,22,1,1,0,,the 62 edits (gfut cohort),21,played-axis/other,314,321,-7
Chris Scerri,SF,SF,385,398,407,22,13,13,0,,the 62 edits (gfut cohort),9,played-axis/other,442,432,10
Aidan Johnson,KPF,KPF,69,89,91,22,20,20,0,,the 62 edits (gfut cohort),2,played-axis/other,704,680,24
Taylor Goad,RUCK,RUCK,1013,1013,1034,21,0,0,0,,,21,played-axis/other; curve+pool,236,246,-10
Jordan Ridley,SD,SD,883,883,904,21,0,0,0,,,21,played-axis/other,265,269,-4
Nic Newman,SD,SD,792,794,813,21,2,2,0,,the 62 edits (gfut cohort),19,played-axis/other,283,286,-3
Sean Darcy,RUCK,RUCK,926,926,947,21,0,0,0,,,21,played-axis/other,256,262,-6
Jeremy Cameron,KPF,KPF,1000,998,1021,21,-2,-2,0,,the 62 edits (gfut cohort),23,played-axis/other,240,250,-10
Archer Reid,KPF,KPF,851,853,872,21,2,2,0,,the 62 edits (gfut cohort),19,played-axis/other,270,274,-4
Noah Chamberlain,SF,KPF,206,221,227,21,15,15,0,,the 62 edits (gfut cohort),6,year0 bar SF→KPF,570,569,1
Jack Ough,MID,MID,703,707,724,21,4,5,-1,,the 62 edits (gfut cohort),17,played-axis/other; curve+pool,307,308,-1
Keidean Coleman,SD,SD,899,899,920,21,0,0,0,,,21,played-axis/other,261,266,-5
Josaia Delana,SF,SF,400,411,421,21,11,11,0,,the 62 edits (gfut cohort),10,played-axis/other,432,423,9
Isaac Keeler,KPF,KPF,296,311,317,21,15,0,15,,stage-A v0surf re-bake,6,played-axis/other,509,494,15
Tobie Travaglia,SD,SD,708,711,728,20,3,3,0,,the 62 edits (gfut cohort),17,played-axis/other,304,305,-1
Wil Powell,SD,SD,936,938,956,20,2,2,0,,the 62 edits (gfut cohort),18,2026 col-bar row MID→col SD,252,259,-7
Joseph Fonti,SD,SD,820,820,840,20,0,0,0,,,20,played-axis/other,276,280,-4
Bailey Williams,SD,SD,771,773,791,20,2,2,0,,the 62 edits (gfut cohort),18,played-axis/other,289,291,-2
Mitch Podhajski,KPF,KPF,29,48,49,20,19,19,0,,the 62 edits (gfut cohort),1,played-axis/other,771,727,44
Will Setterfield,MID,MID,786,786,806,20,0,0,0,,,20,played-axis/other,286,289,-3
Talor Byrne,SF,SF,895,894,915,20,-1,-1,0,,the 62 edits (gfut cohort),21,played-axis/other,262,267,-5
River Stevens,SF,SF,202,217,222,20,15,15,0,,the 62 edits (gfut cohort),5,played-axis/other,578,575,3
Asher Eastham,SF,SF,202,217,222,20,15,15,0,,the 62 edits (gfut cohort),5,played-axis/other,577,574,3
Cooper Simpson,SD,SD,271,245,251,-20,-26,0,-26,,stage-A v0surf re-bake,6,curve+pool,528,552,-24
Tom Anastasopoulos,SF,SF,321,334,341,20,13,6,7,,the 62 edits (gfut cohort),7,played-axis/other; curve+pool,488,473,15
Angus Sheldrick,MID,MID,818,819,838,20,1,1,0,,the 62 edits (gfut cohort),19,played-axis/other,278,281,-3
Elijah Hollands,SF,SF,844,845,864,20,1,1,0,,the 62 edits (gfut cohort),19,played-axis/other,271,275,-4
Luke Pedlar,SF,SF,143,160,163,20,17,0,17,,stage-A v0surf re-bake,3,curve+pool,632,622,10
Buku Khamis,KPD,KPF,197,197,217,20,0,0,0,,,20,year0 bar KPD→KPF,582,583,-1
Nick Bryan,RUCK,RUCK,817,817,837,20,0,0,0,,,20,played-axis/other,279,283,-4
Paul Curtis,SF,SF,1503,1487,1522,19,-16,-16,0,,the 62 edits (gfut cohort),35,played-axis/other,168,173,-5
Toby Greene,SF,SF,1021,1017,1040,19,-4,-4,0,,the 62 edits (gfut cohort),23,2026 col-bar row MID→col SF,233,244,-11
Wil Dawson,KPD,KPD,624,591,605,-19,-33,-33,0,,the 62 edits (gfut cohort),14,played-axis/other,327,345,-18
Samuel Collins,KPD,KPD,795,793,814,19,-2,-2,0,,the 62 edits (gfut cohort),21,played-axis/other,282,285,-3
Matthew Kennedy,MID,MID,752,751,771,19,-1,-1,0,,the 62 edits (gfut cohort),20,played-axis/other,291,296,-5
Lance Collard,SF,SF,220,234,239,19,14,3,11,,the 62 edits (gfut cohort),5,played-axis/other; curve+pool,561,562,-1
Miles Bergman,SD,SD,830,830,849,19,0,0,0,,,19,played-axis/other,275,278,-3
Patrick Said,SF,SF,186,200,205,19,14,0,14,,stage-A v0surf re-bake,5,curve+pool,595,592,3
Jack Ison,SF,MID,604,610,623,19,6,6,0,,the 62 edits (gfut cohort),13,year0 bar SF→MID,334,340,-6
Tew Jiath,SD,SD,260,236,241,-19,-24,0,-24,,stage-A v0surf re-bake,5,curve+pool,539,559,-20
Tom Hanily,SF,SF,181,195,200,19,14,14,0,,the 62 edits (gfut cohort),5,played-axis/other,601,597,4
Joe Richards,SF,SF,1102,1096,1120,18,-6,-6,0,,the 62 edits (gfut cohort),24,played-axis/other,219,231,-12
Kade Chandler,SF,SF,1116,1108,1134,18,-8,-8,0,,the 62 edits (gfut cohort),26,played-axis/other,216,227,-11
Angus Clarke,SD,SD,789,789,807,18,0,0,0,,,18,played-axis/other,284,288,-4
Kai Lohmann,SF,SF,787,787,805,18,0,0,0,,,18,played-axis/other,285,290,-5
Cody Anderson,SF,SF,182,196,200,18,14,0,14,,stage-A v0surf re-bake,4,curve+pool,599,596,3
Mitchell Lewis,KPF,KPF,682,684,700,18,2,2,0,,the 62 edits (gfut cohort),16,played-axis/other,311,317,-6
Brodie Kemp,KPF,KPF,735,735,753,18,0,0,0,,,18,played-axis/other,297,299,-2
Rhys Unwin,SF,SF,185,199,203,18,14,0,14,,stage-A v0surf re-bake,4,curve+pool,596,594,2
Cooper Harvey,SF,SF,645,647,663,18,2,2,0,,the 62 edits (gfut cohort),16,played-axis/other,322,327,-5
Isaac Cumming,SD,MID,62,62,44,-18,0,0,0,,,-18,year0 bar SD→MID,709,737,-28
Darcy Parish,MID,MID,714,713,731,17,-1,-1,0,,the 62 edits (gfut cohort),18,played-axis/other,303,304,-1
Jack Buckley,KPD,KPD,723,723,740,17,0,0,0,,,17,played-axis/other,300,302,-2
Lucca Grego,SD,SD,268,245,251,-17,-23,0,-23,,stage-A v0surf re-bake,6,curve+pool,530,553,-23
Brayden Maynard,SD,SD,640,641,657,17,1,1,0,,the 62 edits (gfut cohort),16,played-axis/other,325,329,-4
Oliver Francou,MID,MID,548,552,565,17,4,4,0,,the 62 edits (gfut cohort),13,played-axis/other,362,359,3
Luker Kentfield,KPF,KPF,395,403,412,17,8,8,0,,the 62 edits (gfut cohort),9,played-axis/other,436,427,9
James O'Donnell,KPD,KPD,608,611,625,17,3,3,0,,the 62 edits (gfut cohort),14,played-axis/other,333,339,-6
Campbell Lake,SF,SF,203,216,220,17,13,13,0,,the 62 edits (gfut cohort),4,played-axis/other,575,577,-2
Nick Larkey,KPF,KPF,661,663,678,17,2,2,0,,the 62 edits (gfut cohort),15,played-axis/other,319,325,-6
Patrick Lipinski,SF,SF,912,907,928,16,-5,-5,0,,the 62 edits (gfut cohort),21,played-axis/other,259,264,-5
Cooper Sharman,KPF,KPF,673,673,689,16,0,0,0,,,16,played-axis/other,312,322,-10
Lachlan Smith,RUCK,RUCK,700,700,716,16,0,0,0,,,16,played-axis/other; curve+pool,308,311,-3
Lachlan Schultz,SF,SF,834,830,850,16,-4,-4,0,,the 62 edits (gfut cohort),20,played-axis/other,273,276,-3
Zac Walker,SD,KPD,280,258,264,-16,-22,-22,0,,the 62 edits (gfut cohort),6,year0 bar SD→KPD,520,539,-19
Lachlan Cowan,SD,SD,804,802,820,16,-2,-2,0,,the 62 edits (gfut cohort),18,played-axis/other,281,284,-3
Matthew Flynn,RUCK,RUCK,673,673,689,16,0,0,0,,,16,played-axis/other,313,323,-10
Ollie Greeves,MID,MID,647,648,663,16,1,1,0,,the 62 edits (gfut cohort),15,played-axis/other,321,328,-7
Jayden Nguyen,SD,SD,526,499,510,-16,-27,-27,0,,the 62 edits (gfut cohort),11,played-axis/other,374,382,-8
Thomas Burton,SF,MID,437,444,453,16,7,7,0,,the 62 edits (gfut cohort),9,year0 bar SF→MID,411,408,3
Malakai Champion,SF,SF,402,409,418,16,7,7,0,,the 62 edits (gfut cohort),9,played-axis/other,431,426,5
Tom Cochrane,SF,SF,254,264,270,16,10,10,0,,the 62 edits (gfut cohort),6,played-axis/other,541,536,5
Oscar Steene,RUCK,KPF,544,544,560,16,0,0,0,,,16,year0 bar RUCK→KPF,365,365,0
Oscar Adams,KPD,KPD,80,94,96,16,14,14,0,future_position: SD→KPD,the 62 edits (own row),2,played-axis/other,693,672,21
Nathan O'Driscoll,MID,MID,693,693,709,16,0,0,0,,,16,played-axis/other,309,313,-4
Xavier Taylor,SD,SD,887,881,902,15,-6,0,-6,,stage-A v0surf re-bake,21,played-axis/other; curve+pool,264,270,-6
Anthony Caminiti,KPF,KPF,1140,1130,1155,15,-10,-10,0,,the 62 edits (gfut cohort),25,played-axis/other,210,222,-12
Jack Whitlock,KPF,KPF,1310,1294,1325,15,-16,-16,0,,the 62 edits (gfut cohort),31,played-axis/other,193,201,-8
Ben Murphy,SD,SD,301,279,286,-15,-22,-22,0,,the 62 edits (gfut cohort),7,played-axis/other,501,516,-15
