# IMPORTED AT store b0c39d78 -> 340a7a32 (branch claude/store-identity-job-v2-9-kuers3, 2026-07-13, item 20 store-identity job); NOT A SOURCE — do not read as current. The store (engine/rl_after/rl_model_data.json) is the SOLE carrier of every club, ID and eligibility. Raw pre-normalization eligibilities + legacy_afl_club are preserved HERE for recovery only. SSI: stamped, read-only, disposable.
source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json
733,afl-player-v1-8cf5e493bdfae3733c6d,darcy-moore,Darcy Moore,Essendon Bombers,"G-DEF,K-DEF",Darcy Moore,Collingwood,K-DEF,"{""birth_date"":""1996-01-25"",""birth_year"":1996,""draft_pick"":8,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""darcy-moore""}"
156,afl-player-v1-e0ceb17af75166c18ba6,darcy-parish,Darcy Parish,Collingwood Magpies,MID,Darcy Parish,Essendon,MID,"{""birth_date"":""1997-07-25"",""birth_year"":1997,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""darcy-parish""}"
408,afl-player-v1-bc6b9ef5332c2f4e8715,darcy-wilmot,Darcy Wilmot,Hawthorn Hawks,G-DEF,Darcy Wilmot,Brisbane,G-DEF,"{""birth_date"":""2003-12-31"",""birth_year"":2003,""draft_pick"":16,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""darcy-wilmot""}"
775,afl-player-v1-d06df65863958adcd922,darcy-wilson,Darcy Wilson,Western Bulldogs,"MID,G-FWD",Darcy Wilson,St Kilda,G-FWD,"{""birth_date"":""2005-08-18"",""birth_year"":2005,""draft_pick"":18,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""darcy-wilson""}"
268,afl-player-v1-7555fe54ff67c19818b0,darragh-joyce,Darragh Joyce,Free agents,"K-DEF,G-DEF",Darragh Joyce,Brisbane,K-DEF,"{""birth_date"":""1997-04-23"",""birth_year"":1997,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2016,""legacy_key"":""darragh-joyce""}"
536,afl-player-v1-492319f4c76dbc13ba1a,dayne-zorko,Dayne Zorko,Port Adelaide Power,G-DEF,Dayne Zorko,Brisbane,G-DEF,"{""birth_date"":""1989-02-09"",""birth_year"":1989,""draft_pick"":41,""draft_type"":""ND"",""draft_year"":2011,""legacy_key"":""dayne-zorko""}"
466,afl-player-v1-eb806190ff707f002a41,deven-robertson,Deven Robertson,Melbourne Demons,"G-FWD,MID",Deven Robertson,West Coast,MID,"{""birth_date"":""2001-06-30"",""birth_year"":2001,""draft_pick"":22,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""deven-robertson""}"
689,afl-player-v1-7fe8fd54753702fa0287,dion-prestia,Dion Prestia,Sydney Swans,"MID,G-FWD",Dion Prestia,Richmond,MID,"{""birth_date"":""1992-10-12"",""birth_year"":1992,""draft_pick"":10,""draft_type"":""ND"",""draft_year"":2010,""legacy_key"":""dion-prestia""}"
567,afl-player-v1-185b7da86ed41cfa157e,dougal-howard,Dougal Howard,Port Adelaide Power,"G-DEF,K-DEF",Dougal Howard,St Kilda,K-DEF,"{""birth_date"":""1996-03-25"",""birth_year"":1996,""draft_pick"":56,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""dougal-howard""}"
416,afl-player-v1-d6e8ec84d8c2b89ba890,dylan-moore,Dylan Moore,Hawthorn Hawks,G-FWD,Dylan Moore,Hawthorn,G-FWD,"{""birth_date"":""1999-08-04"",""birth_year"":1999,""draft_pick"":66,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""dylan-moore""}"
134,afl-player-v1-0240af654fa3bcbf3f1e,dylan-patterson,Dylan Patterson,Melbourne Demons,G-DEF,Dylan Patterson,Gold Coast,G-DEF,"{""birth_date"":""2007-09-01"",""birth_year"":2007,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""dylan-patterson""}"
194,afl-player-v1-fd0092d26b0a422f8f77,dylan-stephens,Dylan Stephens,Essendon Bombers,MID,Dylan Stephens,North Melbourne,MID,"{""birth_date"":""2001-01-08"",""birth_year"":2001,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""dylan-stephens""}"
334,afl-player-v1-62148c46129794e49893,dyson-sharp,Dyson Sharp,Fremantle Dockers,"MID,G-FWD",Dyson Sharp,Essendon,MID,"{""birth_date"":""2007-05-23"",""birth_year"":2007,""draft_pick"":13,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""dyson-sharp""}"
411,afl-player-v1-ea8470a13f4aadb5fc4d,eamonn-armstrong,Eamonn Armstrong,Hawthorn Hawks,G-DEF,Eamonn Armstrong,St Kilda,G-DEF,"{""birth_date"":""2006-07-26"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2024,""legacy_key"":""eamonn-armstrong""}"
713,afl-player-v1-aa4d5b1969d471186a49,ed-langdon,Ed Langdon,Sydney Swans,"MID,G-FWD,G-DEF",Ed Langdon,Melbourne,G-DEF,"{""birth_date"":""1996-02-01"",""birth_year"":1996,""draft_pick"":54,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""ed-langdon""}"
650,afl-player-v1-b9ea3f3086273085ef4e,ed-richards,Ed Richards,St Kilda Saints,MID,Ed Richards,Western Bulldogs,MID,"{""birth_date"":""1999-07-03"",""birth_year"":1999,""draft_pick"":16,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""ed-richards""}"
584,afl-player-v1-5d5b047e5ea5f9951808,edward-allan,Edward Allan,Richmond Tigers,MID,Edward Allan,Collingwood,MID,"{""birth_date"":""2004-05-26"",""birth_year"":2004,""draft_pick"":19,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""edward-allan""}"
445,afl-player-v1-67f3229c73d8afdd447b,elijah-hewett,Elijah Hewett,Melbourne Demons,MID,Elijah Hewett,West Coast,MID,"{""birth_date"":""2004-05-27"",""birth_year"":2004,""draft_pick"":14,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""elijah-hewett""}"
213,afl-player-v1-dc6b2cd7d48c8b4255bd,elijah-hollands,Elijah Hollands,Essendon Bombers,"G-FWD,MID",Elijah Hollands,Carlton,G-FWD,"{""birth_date"":""2002-04-25"",""birth_year"":2002,""draft_pick"":7,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""elijah-hollands""}"
451,afl-player-v1-00738d7373930be4d45d,elijah-tsatas,Elijah Tsatas,Melbourne Demons,MID,Elijah Tsatas,Essendon,MID,"{""birth_date"":""2004-10-18"",""birth_year"":2004,""draft_pick"":5,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""elijah-tsatas""}"
523,afl-player-v1-5ffdbf36d1697aac7ef8,elliot-yeo,Elliot Yeo,North Melbourne Kangaroos,"MID,G-FWD",Elliot Yeo,West Coast,MID,"{""birth_date"":""1993-10-01"",""birth_year"":1993,""draft_pick"":38,""draft_type"":""ND"",""draft_year"":2011,""legacy_key"":""elliot-yeo""}"
262,afl-player-v1-a1ee363298e454ebcca4,elliot-himmelberg,Elliott Himmelberg,Free agents,"K-FWD,G-FWD",Elliott Himmelberg,Adelaide,K-FWD,"{""birth_date"":""1998-06-04"",""birth_year"":1998,""draft_pick"":51,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""elliot-himmelberg""}"
49,afl-player-v1-b6a02cc47fed6efaa8c1,eric-hipwood,Eric Hipwood,Brisbane Lions,"G-FWD,K-FWD",Eric Hipwood,Brisbane,K-FWD,"{""birth_date"":""1997-09-13"",""birth_year"":1997,""draft_pick"":14,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""eric-hipwood""}"
128,afl-player-v1-308ccebe1548de60b409,errol-gulden,Errol Gulden,Carlton Blues,MID,Errol Gulden,Sydney,MID,"{""birth_date"":""2002-07-18"",""birth_year"":2002,""draft_pick"":34,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""errol-gulden""}"
30,afl-player-v1-0b17edd7590d41b40abb,esava-ratugolea,Esava Ratugolea,Adelaide Crows,"G-DEF,K-DEF",Esava Ratugolea,Port Adelaide,K-DEF,"{""birth_date"":""1998-07-24"",""birth_year"":1998,""draft_pick"":43,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""esava-ratugolea""}"
635,afl-player-v1-a41bad0097cfdf996c85,ethan-read,Ethan Read,St Kilda Saints,"G-FWD,K-FWD",Ethan Read,Gold Coast,K-FWD,"{""birth_date"":""2005-07-07"",""birth_year"":2005,""draft_pick"":9,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""ethan-read""}"
621,afl-player-v1-5693b0cd06fb01478444,ewan-mackinlay,Ewan Mackinlay,Richmond Tigers,"MID,G-FWD",Ewan Mackinlay,Port Adelaide,G-FWD,"{""birth_date"":""2003-07-18"",""birth_year"":2003,""draft_pick"":11,""draft_type"":""MSD"",""draft_year"":2025,""legacy_key"":""ewan-mackinlay""}"
393,afl-player-v1-0003b04679076982c85a,finlay-macrae,Finlay Macrae,Geelong Cats,"G-FWD,MID",Finlay Macrae,West Coast,MID,"{""birth_date"":""2002-03-13"",""birth_year"":2002,""draft_pick"":20,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""finlay-macrae""}"
471,afl-player-v1-678c7cda11ddaff2aa8a,finn-callaghan,Finn Callaghan,Melbourne Demons,MID,Finn Callaghan,GWS,MID,"{""birth_date"":""2003-04-26"",""birth_year"":2003,""draft_pick"":3,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""finn-callaghan""}"
275,afl-player-v1-b522f3a7cd0997e31b8f,finn-maginness,Finn Maginness,Free agents,G-FWD,Finn Maginness,Hawthorn,G-FWD,"{""birth_date"":""2001-02-23"",""birth_year"":2001,""draft_pick"":29,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""finn-maginness""}"
170,afl-player-v1-fe72527f019221062fb2,finn-o-sullivan,Finn O'Sullivan,Collingwood Magpies,"G-DEF,MID",Finn O'Sullivan,North Melbourne,MID,"{""birth_date"":""2006-05-30"",""birth_year"":2006,""draft_pick"":2,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""finn-o-sullivan""}"
394,afl-player-v1-866c8b33dd97c0e25d31,finnbar-maley,Finnbar Maley,Geelong Cats,K-FWD,Finnbar Maley,Adelaide,K-FWD,"{""birth_date"":""2003-07-18"",""birth_year"":2003,""draft_pick"":2,""draft_type"":""RD"",""draft_year"":2023,""legacy_key"":""finnbar-maley""}"
101,afl-player-v1-057315d23e7e0bf3c26f,finnegan-davis,Finnegan Davis,Carlton Blues,G-DEF,Finnegan Davis,GWS,G-DEF,"{""birth_date"":""2007-01-21"",""birth_year"":2007,""draft_pick"":51,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""finnegan-davis""}"
212,afl-player-v1-4a32b31ca8fd0f3e2ff3,flynn-perez,Flynn Perez,Brisbane Lions,"MID,G-DEF",Flynn Perez,Hawthorn,G-DEF,"{""birth_date"":"""",""birth_year"":2001,""draft_pick"":35,""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""flynn-perez""}"
2,afl-player-v1-53c95637430db16d2617,flynn-riley,Flynn Riley,Adelaide Crows,RUCK,Flynn Riley,Carlton,RUCK,"{""birth_date"":""2004-04-05"",""birth_year"":2004,""draft_pick"":4,""draft_type"":""MSD"",""draft_year"":2026,""legacy_key"":""flynn-riley""}"
230,afl-player-v1-1825e6bd6dbe8848dd4e,flynn-young,Flynn Young,Free agents,G-FWD,Flynn Young,Carlton,G-FWD,"{""birth_date"":""2002-02-03"",""birth_year"":2002,""draft_pick"":4,""draft_type"":""MSD"",""draft_year"":2025,""legacy_key"":""flynn-young""}"
634,afl-player-v1-c4c5af0d7fdb69445549,francis-evans,Francis Evans,St Kilda Saints,G-FWD,Francis Evans,Carlton,G-FWD,"{""birth_date"":""2001-08-23"",""birth_year"":2001,""draft_pick"":41,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""francis-evans""}"
99,afl-player-v1-02d79c04dde5aa58aa26,fred-rodriguez,Fred Rodriguez,Carlton Blues,G-FWD,Fred Rodriguez,West Coast,MID,"{""birth_date"":""2007-07-20"",""birth_year"":2007,""draft_pick"":1,""draft_type"":""RD"",""draft_year"":2025,""legacy_key"":""fred-rodriguez""}"
545,afl-player-v1-b8d47d2584af7bc76166,george-hewett,George Hewett,Port Adelaide Power,MID,George Hewett,Carlton,MID,"{""birth_date"":""1995-12-29"",""birth_year"":1995,""draft_pick"":32,""draft_type"":""ND"",""draft_year"":2013,""legacy_key"":""george-hewett""}"
660,afl-player-v1-372fce270dfdd53f2676,george-stevens,George Stevens,St Kilda Saints,MID,George Stevens,Geelong,MID,"{""birth_date"":""2005-04-14"",""birth_year"":2005,""draft_pick"":58,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""george-stevens""}"
610,afl-player-v1-02380b2ddf7c0a01c83c,george-wardlaw,George Wardlaw,Richmond Tigers,MID,George Wardlaw,North Melbourne,MID,"{""birth_date"":""2004-06-11"",""birth_year"":2004,""draft_pick"":4,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""george-wardlaw""}"
606,afl-player-v1-c3e6e956e025b6662560,griffin-logue,Griffin Logue,Richmond Tigers,"G-DEF,K-DEF",Griffin Logue,North Melbourne,K-DEF,"{""birth_date"":""1998-04-13"",""birth_year"":1998,""draft_pick"":8,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""griffin-logue""}"
85,afl-player-v1-8aeac02b34655edd2291,gryan-miers,Gryan Miers,Brisbane Lions,G-FWD,Gryan Miers,Geelong,G-FWD,"{""birth_date"":""1999-03-30"",""birth_year"":1999,""draft_pick"":57,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""gryan-miers""}"
160,afl-player-v1-5b8118da3443defd550c,hamish-davis,Hamish Davis,Collingwood Magpies,MID,Hamish Davis,West Coast,MID,"{""birth_date"":""2006-05-02"",""birth_year"":2006,""draft_pick"":65,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""hamish-davis""}"
333,afl-player-v1-14d8cbd7324c66aac70c,harley-barker,Harley Barker,Fremantle Dockers,MID,Harley Barker,Geelong,MID,"{""birth_date"":""2007-05-02"",""birth_year"":2007,""draft_pick"":24,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""harley-barker""}"
477,afl-player-v1-a0c3571f3dfb3a833c8f,harley-reid,Harley Reid,Melbourne Demons,MID,Harley Reid,West Coast,MID,"{""birth_date"":""2005-04-17"",""birth_year"":2005,""draft_pick"":1,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""harley-reid""}"
161,afl-player-v1-70221165b1045d284cf1,harris-andrews,Harris Andrews,Collingwood Magpies,"G-DEF,K-DEF",Harris Andrews,Brisbane,K-DEF,"{""birth_date"":""1996-12-11"",""birth_year"":1996,""draft_pick"":60,""draft_type"":""ND"",""draft_year"":2014,""legacy_key"":""harris-andrews""}"
566,afl-player-v1-8a8b5b4af8a8dfecdcaf,harrison-coe,Harrison Coe,Port Adelaide Power,RUCK,Harrison Coe,Collingwood,RUCK,"{""birth_date"":""1999-11-10"",""birth_year"":1999,""draft_pick"":8,""draft_type"":""MSD"",""draft_year"":2026,""legacy_key"":""harrison-coe""}"
681,afl-player-v1-0297bfd91767586dc86b,harrison-himmelberg,Harrison Himmelberg,Sydney Swans,G-DEF,Harrison Himmelberg,GWS,G-DEF,"{""birth_date"":""1996-05-08"",""birth_year"":1996,""draft_pick"":16,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""harrison-himmelberg""}"
267,afl-player-v1-f7dc5d1887383e694d56,harrison-jones,Harrison Jones,Free agents,"K-FWD,G-FWD",Harrison Jones,Essendon,K-FWD,"{""birth_date"":""2001-02-25"",""birth_year"":2001,""draft_pick"":30,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""harrison-jones""}"
422,afl-player-v1-46e176b1e1cb8cf2276c,harrison-oliver,Harrison Oliver,Hawthorn Hawks,G-DEF,Harrison Oliver,GWS,G-DEF,"{""birth_date"":""2006-06-15"",""birth_year"":2006,""draft_pick"":19,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""harrison-oliver""}"
385,afl-player-v1-798ef99c1a224797383e,harrison-petty,Harrison Petty,Geelong Cats,"G-FWD,K-FWD,G-DEF,K-DEF",Harrison Petty,Melbourne,K-DEF,"{""birth_date"":""1999-11-12"",""birth_year"":1999,""draft_pick"":37,""draft_type"":""ND"",""draft_year"":2017,""legacy_key"":""harrison-petty""}"
17,afl-player-v1-72ecc1bfe9f72efec4eb,harrison-ramm,Harrison Ramm,Adelaide Crows,"G-DEF,K-DEF",Harrison Ramm,Port Adelaide,K-DEF,"{""birth_date"":""2006-12-05"",""birth_year"":2006,""draft_pick"":3,""draft_type"":""MSD"",""draft_year"":2025,""legacy_key"":""harrison-ramm""}"
410,afl-player-v1-b25724f0e722db813620,harry-armstrong,Harry Armstrong,Hawthorn Hawks,"G-FWD,K-FWD",Harry Armstrong,Richmond,K-FWD,"{""birth_date"":""2006-06-14"",""birth_year"":2006,""draft_pick"":23,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""harry-armstrong""}"
235,afl-player-v1-1ac4e04886fd5dc6a04d,harry-barnett,Harry Barnett,Free agents,RUCK,Harry Barnett,West Coast,RUCK,"{""birth_date"":""2004-01-22"",""birth_year"":2004,""draft_pick"":23,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""harry-barnett""}"
499,afl-player-v1-a67aba23e14cd5a96bd3,harry-charleson,Harry Charleson,North Melbourne Kangaroos,"G-DEF,MID",Harry Charleson,Carlton,G-DEF,"{""birth_date"":""2006-06-26"",""birth_year"":2006,""draft_pick"":4,""draft_type"":""RD"",""draft_year"":2024,""legacy_key"":""harry-charleson""}"
248,afl-player-v1-bf5bd9012e153d04a9fe,harry-cunningham,Harry Cunningham,Free agents,G-DEF,Harry Cunningham,Sydney,G-DEF,"{""birth_date"":""1993-12-06"",""birth_year"":1993,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2011,""legacy_key"":""harry-cunningham""}"
415,afl-player-v1-da27734b8bd79dd7b863,harry-dean,Harry Dean,Hawthorn Hawks,"G-DEF,K-DEF",Harry Dean,Carlton,K-DEF,"{""birth_date"":""2007-11-13"",""birth_year"":2007,""draft_pick"":3,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""harry-dean""}"
121,afl-player-v1-532c3fce5e3300d3a2f1,harry-demattia,Harry Demattia,Carlton Blues,MID,Harry DeMattia,Collingwood,MID,"{""birth_date"":""2005-09-11"",""birth_year"":2005,""draft_pick"":25,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""harry-demattia""}"
654,afl-player-v1-ed61fefae906a87f47d7,harry-edwards,Harry Edwards,St Kilda Saints,"G-DEF,K-DEF",Harry Edwards,West Coast,K-DEF,"{""birth_date"":""2000-10-01"",""birth_year"":2000,""draft_pick"":13,""draft_type"":""RD"",""draft_year"":2018,""legacy_key"":""harry-edwards""}"
319,afl-player-v1-582c17fa8f38599ba36e,harry-kyle,Harry Kyle,Fremantle Dockers,"G-DEF,MID",Harry Kyle,Sydney,G-DEF,"{""birth_date"":""2007-07-16"",""birth_year"":2007,""draft_pick"":14,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""harry-kyle""}"
668,afl-player-v1-5efcadd8aa7f4d9cd988,harry-mckay,Harry McKay,St Kilda Saints,"G-FWD,K-FWD",Harry McKay,Carlton,K-FWD,"{""birth_date"":""1997-12-24"",""birth_year"":1997,""draft_pick"":10,""draft_type"":""ND"",""draft_year"":2015,""legacy_key"":""harry-mckay""}"
667,afl-player-v1-f148d9edfdf14e89802c,harry-morrison,Harry Morrison,St Kilda Saints,MID,Harry Morrison,Hawthorn,MID,"{""birth_date"":""1998-11-12"",""birth_year"":1998,""draft_pick"":73,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""harry-morrison""}"
677,afl-player-v1-ffb1fcaf3d8453c8fb87,harry-o-farrell,Harry O'Farrell,Sydney Swans,"G-DEF,K-DEF",Harry O'Farrell,Carlton,K-DEF,"{""birth_date"":""2006-05-03"",""birth_year"":2006,""draft_pick"":40,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""harry-o-farrell""}"
83,afl-player-v1-0a0fa0c58c2f8c6d7bb4,harry-perryman,Harry Perryman,Brisbane Lions,G-DEF,Harry Perryman,Collingwood,G-DEF,"{""birth_date"":""1998-12-19"",""birth_year"":1998,""draft_pick"":14,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""harry-perryman""}"
92,afl-player-v1-12cd1c01b93b2d5a4f47,harry-rowston,Harry Rowston,Carlton Blues,MID,Harry Rowston,GWS,MID,"{""birth_date"":""2004-08-12"",""birth_year"":2004,""draft_pick"":16,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""harry-rowston""}"
27,afl-player-v1-ab850e133d188f1c21e4,harry-schoenberg,Harry Schoenberg,Adelaide Crows,"MID,G-FWD",Harry Schoenberg,Adelaide,MID,"{""birth_date"":""2001-02-21"",""birth_year"":2001,""draft_pick"":24,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""harry-schoenberg""}"
53,afl-player-v1-263e17ec5c383810e670,harry-sharp,Harry Sharp,Brisbane Lions,G-FWD,Harry Sharp,Brisbane,G-FWD,"{""birth_date"":""2002-12-17"",""birth_year"":2002,""draft_pick"":45,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""harry-sharp""}"
111,afl-player-v1-d12a2f85b92e8396e034,harry-sheezel,Harry Sheezel,Carlton Blues,"MID,G-FWD",Harry Sheezel,North Melbourne,MID,"{""birth_date"":""2004-10-13"",""birth_year"":2004,""draft_pick"":3,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""harry-sheezel""}"
587,afl-player-v1-eff4af4d6dc326bd2039,harvey-gallagher,Harvey Gallagher,Richmond Tigers,G-DEF,Harvey Gallagher,Western Bulldogs,G-DEF,"{""birth_date"":""2003-09-26"",""birth_year"":2003,""draft_pick"":39,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""harvey-gallagher""}"
730,afl-player-v1-409c1d00c3a09f0d9eeb,harvey-harrison,Harvey Harrison,West Coast Eagles,G-FWD,Harvey Harrison,Collingwood,G-FWD,"{""birth_date"":""2003-11-10"",""birth_year"":2003,""draft_pick"":52,""draft_type"":""ND"",""draft_year"":2021,""legacy_key"":""harvey-harrison""}"
470,afl-player-v1-66178e03f3831016945b,harvey-johnston,Harvey Johnston,Melbourne Demons,G-DEF,Harvey Johnston,West Coast,G-DEF,"{""birth_date"":""2005-08-18"",""birth_year"":2005,""draft_pick"":49,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""harvey-johnston""}"
304,afl-player-v1-d6ed32b0c0d14bdc9e91,harvey-langford,Harvey Langford,Fremantle Dockers,MID,Harvey Langford,Melbourne,MID,"{""birth_date"":""2006-03-15"",""birth_year"":2006,""draft_pick"":6,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""harvey-langford""}"
738,afl-player-v1-ab3fe74846e344f27891,harvey-thomas,Harvey Thomas,Brisbane Lions,"G-FWD,MID",Harvey Thomas,GWS,G-FWD,"{""birth_date"":""2005-08-08"",""birth_year"":2005,""draft_pick"":59,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""harvey-thomas""}"
611,afl-player-v1-2245a2e1f23e42eee60f,hayden-mclean,Hayden Mclean,Richmond Tigers,"G-FWD,K-FWD",Hayden McLean,Sydney,K-FWD,"{""birth_date"":""1999-01-20"",""birth_year"":1999,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2018,""legacy_key"":""hayden-mclean""}"
728,afl-player-v1-172361cf97bb47a65030,hayden-young,Hayden Young,Essendon Bombers,MID,Hayden Young,Fremantle,MID,"{""birth_date"":""2001-04-11"",""birth_year"":2001,""draft_pick"":7,""draft_type"":""ND"",""draft_year"":2019,""legacy_key"":""hayden-young""}"
704,afl-player-v1-c64255f0f57e31279cb2,heath-chapman,Heath Chapman,Sydney Swans,G-DEF,Heath Chapman,Fremantle,G-DEF,"{""birth_date"":""2002-01-31"",""birth_year"":2002,""draft_pick"":14,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""heath-chapman""}"
591,afl-player-v1-99cd1b9af96b0e365ae8,henry-hustwaite,Henry Hustwaite,Richmond Tigers,MID,Henry Hustwaite,Hawthorn,MID,"{""birth_date"":""2004-07-20"",""birth_year"":2004,""draft_pick"":37,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""henry-hustwaite""}"
421,afl-player-v1-cd63e2915e6b25ca73ac,henry-smith,Henry Smith,Hawthorn Hawks,"G-FWD,K-FWD",Henry Smith,Brisbane,K-FWD,"{""birth_date"":""2002-09-24"",""birth_year"":2002,""draft_pick"":50,""draft_type"":""ND"",""draft_year"":2020,""legacy_key"":""henry-smith""}"
120,afl-player-v1-3e25b9575d8de3b0cac2,hudson-o-keeffe,Hudson O'Keeffe,Western Bulldogs,"K-FWD,RUCK",Hudson O'Keeffe,Carlton,K-FWD,"{""birth_date"":""2004-12-16"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2022,""legacy_key"":""hudson-o-keeffe""}"
318,afl-player-v1-6d1deb54da85de9023d2,hugh-bond,Hugh Bond,Fremantle Dockers,G-DEF,Hugh Bond,Adelaide,G-DEF,"{""birth_date"":""2004-09-25"",""birth_year"":2004,""draft_pick"":50,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""hugh-bond""}"
456,afl-player-v1-cc6cc6ea7d2d64ef0a59,hugh-boxshall,Hugh Boxshall,Melbourne Demons,MID,Hugh Boxshall,St Kilda,MID,"{""birth_date"":""2006-07-11"",""birth_year"":2006,""draft_pick"":45,""draft_type"":""ND"",""draft_year"":2024,""legacy_key"":""hugh-boxshall""}"
438,afl-player-v1-31e578d176cea17362ff,hugh-davies,Hugh Davies,Hawthorn Hawks,"G-DEF,K-DEF",Hugh Davies,Fremantle,K-DEF,"{""birth_date"":""2004-09-28"",""birth_year"":2004,""draft_pick"":33,""draft_type"":""ND"",""draft_year"":2022,""legacy_key"":""hugh-davies""}"
47,afl-player-v1-e511a100c5f69febc62c,hugh-mccluggage,Hugh McCluggage,Western Bulldogs,MID,Hugh McCluggage,Brisbane,MID,"{""birth_date"":""1998-03-03"",""birth_year"":1998,""draft_pick"":3,""draft_type"":""ND"",""draft_year"":2016,""legacy_key"":""hugh-mccluggage""}"
718,afl-player-v1-28ebd34236fec439fb2f,hugo-garcia,Hugo Garcia,West Coast Eagles,MID,Hugo Garcia,St Kilda,MID,"{""birth_date"":""2005-05-22"",""birth_year"":2005,""draft_pick"":50,""draft_type"":""ND"",""draft_year"":2023,""legacy_key"":""hugo-garcia""}"
174,afl-player-v1-ae0417d08a6405bbceeb,hugo-hall-kahan,Hugo Hall-Kahan,Collingwood Magpies,"G-DEF,MID",Hugo Hall-Kahan,Adelaide,G-DEF,"{""birth_date"":""2003-09-22"",""birth_year"":2003,""draft_pick"":11,""draft_type"":""MSD"",""draft_year"":2026,""legacy_key"":""hugo-hall-kahan""}"
608,afl-player-v1-4ed12365ade6e2fc03a5,hugo-mikunda,Hugo Mikunda,Richmond Tigers,"MID,G-FWD",Hugo Mikunda,North Melbourne,G-FWD,"{""birth_date"":""2007-03-13"",""birth_year"":2007,""draft_pick"":48,""draft_type"":""ND"",""draft_year"":2025,""legacy_key"":""hugo-mikunda""}"
